STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10001,4,1,2011,3,16,51,31.93380833,-85.13751944
1,10002,4,1,2011,3,23,40,33.54500833,-86.65259444
1,10003,5,1,2011,4,9,14,30.70789444,-88.17341667
1,10005,8,1,2011,7,15,35,33.67650278,-85.84126667
1,10006,8,1,2011,7,6,16,34.78365556,-85.88662778
1,10007,11,1,2011,3,18,50,32.32708889,-86.24123056
1,10008,13,1,2011,5,4,40,33.96973611,-86.49295833
1,10009,14,1,2011,6,14,45,30.697775,-88.106225
1,10010,15,1,2011,7,2,55,34.88033889,-85.85936667
1,10011,1,1,2011,7,6,20,33.69312778,-87.12245
1,10012,1,1,2011,7,18,50,34.79766389,-86.98327778
1,10013,2,1,2011,1,16,0,34.58037778,-86.43711389
1,10014,2,1,2011,1,0,10,34.52971667,-87.19844444
1,10015,3,1,2011,2,7,10,33.09127222,-87.05174722
1,10016,3,1,2011,2,10,35,34.69465278,-86.70711944
1,10017,4,1,2011,3,17,11,31.43933611,-85.64306667
1,10018,7,1,2011,6,3,13,33.778925,-86.42184722
1,10019,9,1,2011,1,6,30,34.95936667,-87.73246111
1,10020,9,1,2011,1,20,0,32.17369722,-86.49901389
1,10021,11,1,2011,3,13,35,33.92328611,-87.62214167
1,10022,13,1,2011,5,15,31,32.29405556,-85.00741667
1,10023,13,1,2011,5,21,20,32.56312222,-87.60552222
1,10024,14,1,2011,6,11,45,31.60381389,-88.140125
1,10025,14,1,2011,6,8,47,32.69619444,-85.78767778
1,10026,15,1,2011,7,13,40,33.9715,-85.76480278
1,10027,15,1,2011,7,8,35,32.38362222,-86.32224167
1,10028,15,1,2011,7,15,0,34.84573333,-87.37903056
1,10029,15,1,2011,7,18,30,30.588925,-88.20487778
1,10030,15,1,2011,7,17,50,30.92023889,-88.19949722
1,10031,16,1,2011,1,7,10,30.96880556,-88.13633611
1,10032,16,1,2011,1,22,56,34.55935833,-86.60732778
1,10033,17,1,2011,2,22,25,33.8861,-85.73808889
1,10034,18,1,2011,3,16,55,32.65684722,-86.16439722
1,10035,21,1,2011,6,16,57,32.69008056,-85.31914722
1,10036,21,1,2011,6,11,20,33.33995833,-87.32289722
1,10037,21,1,2011,6,22,0,30.99847778,-86.13230833
1,10038,22,1,2011,7,0,36,32.48224444,-86.43003333
1,10039,26,1,2011,4,8,32,31.06396389,-85.52200833
1,10040,26,1,2011,4,22,20,34.28533889,-86.58630833
1,10041,28,1,2011,6,3,40,34.65951389,-86.00728611
1,10042,28,1,2011,6,21,35,34.40106667,-87.75263056
1,10043,30,1,2011,1,17,31,34.77855556,-86.61659444
1,10044,1,2,2011,3,7,43,32.433025,-87.04915833
1,10045,2,2,2011,4,19,28,30.67595556,-88.17791111
1,10046,3,2,2011,5,23,10,33.34139167,-86.90065278
1,10047,1,2,2011,3,11,46,34.36302778,-86.42168611
1,10048,5,2,2011,7,0,33,31.91059722,-86.24069167
1,10049,18,1,2011,3,0,47,33.48348333,-86.82628056
1,10050,19,1,2011,4,17,45,33.48848611,-86.81599167
1,10051,10,2,2011,5,13,39,33.50008333,-86.852375
1,10052,2,2,2011,4,17,15,33.32151667,-86.61775833
1,10053,3,2,2011,5,19,40,31.95354722,-87.18656667
1,10054,3,2,2011,5,14,55,33.75290833,-86.27563611
1,10055,3,2,2011,5,19,0,33.771425,-86.82873889
1,10056,4,2,2011,6,9,40,34.81912222,-87.75011944
1,10057,4,2,2011,6,2,15,32.48189167,-88.35272778
1,10058,5,2,2011,7,2,40,34.43050556,-87.22849444
1,10059,6,2,2011,1,15,25,33.03529167,-86.05468611
1,10060,6,2,2011,1,4,36,30.60391389,-87.8983
1,10061,7,2,2011,2,2,45,32.14350556,-86.60701667
1,10062,8,2,2011,3,6,10,31.79581667,-85.25596667
1,10063,10,2,2011,5,19,12,30.39183056,-88.10945
1,10064,10,2,2011,5,17,30,30.83516389,-87.8823
1,10065,10,2,2011,5,6,50,33.63916944,-86.37416944
1,10066,11,2,2011,6,1,0,34.95525556,-86.78977222
1,10067,11,2,2011,6,14,50,31.522325,-85.26761667
1,10068,11,2,2011,6,21,10,34.89818889,-85.77724722
1,10069,11,2,2011,6,9,25,34.81335278,-85.73111389
1,10070,11,2,2011,6,19,51,32.71113333,-85.17842778
1,10071,11,2,2011,6,18,53,34.78685,-86.5186
1,10072,12,2,2011,7,3,10,32.65822778,-88.16608889
1,10073,13,2,2011,1,19,50,33.63981944,-87.65742222
1,10074,14,2,2011,2,7,35,31.40135833,-86.87833889
1,10075,15,2,2011,3,12,10,34.119125,-87.607125
1,10076,19,2,2011,7,0,39,34.75103611,-86.63567222
1,10077,3,2,2011,5,11,8,32.36841667,-86.21068333
1,10078,6,2,2011,1,17,40,34.24138056,-86.17068056
1,10079,15,2,2011,3,5,20,30.69791944,-88.12425556
1,10080,19,2,2011,7,6,0,33.48513056,-86.711075
1,10081,9,1,2011,1,17,38,33.17419722,-87.36531944
1,10082,29,1,2011,7,18,35,30.71417778,-88.31724722
1,10083,14,2,2011,2,12,14,33.57603056,-86.91144722
1,10084,23,2,2011,4,7,34,34.18148333,-86.10098611
1,10085,26,2,2011,7,17,0,33.04304444,-85.77918889
1,10086,10,2,2011,5,16,5,32.23244167,-85.12016111
1,10087,18,2,2011,6,22,0,31.04879722,-87.49290833
1,10088,18,2,2011,6,12,0,34.8744,-87.28270833
1,10089,18,2,2011,6,15,0,34.70008611,-87.64063333
1,10090,19,2,2011,7,17,30,30.60161667,-87.55499444
1,10091,21,2,2011,2,0,20,32.3707,-87.00571111
1,10092,21,2,2011,2,15,30,33.10548056,-86.22815
1,10093,22,2,2011,3,18,20,31.976375,-87.92026944
1,10094,22,2,2011,3,10,15,31.49696111,-86.93175556
1,10095,22,2,2011,3,11,38,33.17345278,-87.25068333
1,10096,22,2,2011,3,21,5,34.23138611,-86.12076944
1,10097,24,2,2011,5,5,30,32.18163333,-86.80066667
1,10098,26,2,2011,7,14,35,34.1724,-86.89028889
1,10099,27,2,2011,1,21,0,31.952125,-86.85396111
1,10100,14,2,2011,2,15,49,33.39252778,-86.94991667
1,10101,4,3,2011,6,18,24,34.30586667,-86.28963889
1,10102,2,3,2011,4,17,55,30.49486111,-88.18990556
1,10103,3,3,2011,5,21,40,30.68689722,-88.00650833
1,10104,3,3,2011,5,17,50,34.70374722,-87.6347
1,10105,5,3,2011,7,2,48,32.43458056,-86.21918056
1,10106,5,3,2011,7,13,45,32.54470556,-88.19883333
1,10107,6,3,2011,1,21,50,34.97045278,-87.13761111
1,10108,5,3,2011,7,10,35,30.574225,-88.182225
1,10109,7,3,2011,2,17,10,31.74426389,-85.86184444
1,10110,8,3,2011,3,11,14,31.37796944,-88.20463611
1,10111,11,3,2011,6,18,42,33.30796111,-85.44950278
1,10112,14,3,2011,2,16,15,32.46717222,-85.40274722
1,10113,13,3,2011,1,20,55,30.82233889,-88.16524167
1,10114,14,3,2011,2,15,35,30.63570556,-88.24946111
1,10115,17,3,2011,5,7,45,34.24094167,-87.72606667
1,10116,17,3,2011,5,20,0,34.89170278,-87.69445833
1,10117,9,2,2011,4,8,44,33.15918056,-87.54888611
1,10118,23,2,2011,4,20,26,30.73994444,-88.08338889
1,10119,25,2,2011,6,22,16,30.58345278,-88.20702778
1,10120,16,2,2011,4,1,35,33.65905833,-86.70914444
1,10121,4,3,2011,6,5,40,33.25025278,-87.60299444
1,10122,8,3,2011,3,10,22,34.17274167,-86.84798056
1,10123,10,3,2011,5,6,32,32.43688889,-85.67366111
1,10124,13,3,2011,1,18,29,34.79295278,-86.59859444
