STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10001,19,2,2017,1,23,35,33.33566111,-87.00709444
1,10002,14,2,2017,3,14,59,34.66152778,-86.78685278
1,10003,31,1,2017,3,20,31,32.36651944,-86.14528056
1,10004,1,1,2017,1,16,55,33.510175,-86.89400278
1,10005,1,1,2017,1,20,0,31.94723611,-86.55677778
1,10006,6,1,2017,6,18,40,34.36707778,-85.80417222
1,10007,11,1,2017,4,17,57,33.54551111,-86.76139444
1,10008,11,1,2017,4,16,50,31.03366667,-87.63510278
1,10009,11,1,2017,4,14,30,32.41759167,-85.94290556
1,10010,14,1,2017,7,4,0,33.66844167,-86.553425
1,10011,15,1,2017,1,4,35,32.39305833,-85.98393056
1,10012,19,1,2017,5,21,50,32.13146389,-86.44510833
1,10013,1,1,2017,1,18,34,34.96279722,-86.79522222
1,10014,2,1,2017,2,17,5,34.09405556,-86.80004722
1,10015,4,1,2017,4,0,35,33.18518333,-86.28491389
1,10016,4,1,2017,4,17,10,33.43155833,-86.18498056
1,10017,4,1,2017,4,1,15,32.18711944,-86.04081111
1,10018,4,1,2017,4,23,48,33.26630833,-86.35220833
1,10019,5,1,2017,5,7,44,34.02868333,-86.03161389
1,10020,6,1,2017,6,23,1,34.84546389,-86.64266944
1,10021,7,1,2017,7,16,40,33.158925,-85.43507778
1,10022,9,1,2017,2,19,44,34.52646111,-86.78778056
1,10023,5,1,2017,5,8,45,34.49385833,-87.25871389
1,10024,6,1,2017,6,11,27,31.76679722,-85.90671944
1,10025,11,1,2017,4,0,30,32.90336111,-85.76370833
1,10026,11,1,2017,4,6,30,30.47240833,-87.81856389
1,10027,12,1,2017,5,20,23,34.81880833,-86.95076667
1,10028,12,1,2017,5,1,14,33.80732222,-85.83454167
1,10029,12,1,2017,5,0,27,34.13319444,-86.64860278
1,10030,12,1,2017,5,23,45,32.41738611,-87.0832
1,10031,13,1,2017,6,13,20,33.76197222,-86.04339167
1,10032,13,1,2017,6,17,0,32.21607222,-85.91568056
1,10033,14,1,2017,7,14,35,31.17472778,-85.5959
1,10034,14,1,2017,7,0,15,32.35299722,-86.96958611
1,10035,14,1,2017,7,3,30,33.85131111,-86.8796
