STATE,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,LATITUDE,LONGITUD
1,1,3,20,35,4,10001,34.977425,-86.77585
1,1,3,5,0,4,10002,33.82395,-85.80056667
1,1,6,22,58,7,10003,32.27244444,-86.50723889
1,1,10,17,40,4,10004,32.27613333,-86.3477
1,1,2,9,50,3,10005,33.85066111,-86.82744167
1,1,15,17,45,2,10006,33.18471389,-86.30013611
1,1,10,14,55,4,10007,30.68966944,-88.17359444
1,1,13,15,10,7,10008,33.11854167,-86.04494167
1,1,17,13,15,4,10009,,
1,1,19,13,28,6,10010,,
1,1,16,20,55,3,10011,34.13034722,-86.41297222
1,1,2,13,15,3,10012,,
1,1,5,21,30,6,10013,32.17039167,-88.15696111
1,1,6,18,20,7,10014,30.56506667,-88.22923333
1,1,6,13,5,7,10015,34.08549167,-86.11028056
1,1,7,0,50,1,10016,,
1,1,8,7,0,2,10017,31.73328889,-88.006775
1,1,9,5,15,3,10018,31.26530556,-86.25659444
1,1,11,23,40,5,10019,30.86198056,-88.19781667
1,1,11,1,45,5,10020,33.35739722,-86.39331667
1,1,15,8,9,2,10021,33.29268611,-87.07956389
1,1,16,0,5,3,10022,33.48282222,-85.79220556
1,1,18,17,30,5,10023,,
1,1,5,21,37,6,10024,,
1,1,28,6,30,1,10025,32.11049167,-86.46095833
1,1,20,12,10,7,10026,32.59772778,-87.00474722
1,1,21,1,0,1,10027,,
1,1,22,23,40,2,10028,,
1,1,24,6,30,4,10029,,
1,1,8,13,59,2,10030,33.36538056,-86.8824
1,1,2,11,9,3,10031,33.93015,-87.81471944
1,1,9,19,30,3,10032,,
1,1,12,3,30,6,10033,32.42110833,-86.35979722
1,1,1,9,57,2,10034,32.61731944,-85.40156111
1,1,30,7,15,3,10035,,
1,1,30,15,20,3,10036,34.55242222,-87.69342222
1,1,9,20,20,3,10037,,
1,1,14,3,15,1,10038,,
1,1,14,20,0,1,10039,33.88359722,-87.04488889
1,1,19,10,1,6,10040,,
1,1,20,23,0,7,10041,30.77506667,-88.17136389
1,1,24,9,0,4,10042,33.95979722,-87.43031389
1,1,3,10,5,4,10043,33.14276944,-87.54550833
1,1,19,3,50,6,10044,31.89150556,-85.14565
1,1,28,6,35,1,10045,34.60475556,-87.04281111
1,1,26,2,35,6,10046,33.18671111,-87.41996389
1,1,31,15,24,4,10047,32.85253333,-86.62301111
1,1,28,21,20,1,10048,34.30978889,-87.69384167
1,1,23,12,35,3,10049,,
1,1,13,18,15,7,10050,33.50185278,-86.55221667
1,1,25,14,0,5,10051,31.81190556,-86.10752778
1,1,25,18,45,5,10052,33.88077222,-87.33586944
1,1,25,16,30,5,10053,,
1,1,28,15,25,1,10054,31.76237222,-86.5461
1,1,22,7,20,2,10055,33.16536944,-87.57061944
1,1,27,20,50,7,10056,33.00228889,-86.31054444
1,1,27,16,32,7,10057,,
1,1,29,15,40,2,10058,,
1,1,28,12,55,1,10059,31.20766944,-85.42402778
1,1,29,13,0,2,10060,,
1,1,11,7,5,5,10061,32.50073333,-85.01194722
1,1,26,12,54,6,10062,34.31183889,-86.30463056
1,1,24,19,25,4,10063,33.65677778,-85.83033611
1,1,10,12,53,4,10064,34.16115833,-86.13619722
1,1,19,6,0,6,10065,34.503725,-85.69307778
1,1,19,18,50,6,10066,31.64983611,-87.708425
1,1,28,8,15,1,10067,32.36316389,-86.21356111
1,2,1,6,45,5,10068,34.56486111,-86.36591667
1,2,1,8,30,5,10069,32.81088611,-86.7671
1,2,2,22,50,6,10070,34.82966111,-85.838525
1,2,6,11,29,3,10071,32.91585,-86.765
1,2,3,22,45,7,10072,,
1,2,5,13,0,2,10073,33.51076389,-86.83918611
1,2,3,21,50,7,10074,31.339025,-86.18126111
1,2,5,20,30,2,10075,31.11101667,-88.08638333
1,2,7,8,5,4,10076,31.29655556,-85.721025
1,2,10,14,30,7,10077,33.868025,-85.86844167
1,2,6,13,24,3,10078,33.05803056,-85.40324722
1,2,12,17,29,2,10079,30.90921389,-88.12412778
1,2,12,18,47,2,10080,32.46314167,-85.72206944
1,2,3,13,0,7,10081,33.14049444,-88.12788889
1,2,4,2,40,1,10082,31.89134444,-86.19758889
1,2,10,12,45,7,10083,32.05346111,-85.51545556
1,2,16,3,15,6,10084,31.85273611,-86.05711111
1,2,4,16,59,1,10085,,
1,2,5,19,0,2,10086,31.08911944,-87.52795
1,2,1,15,40,5,10087,33.36503889,-86.17034722
1,2,7,22,30,4,10088,34.22368889,-86.74608333
1,2,15,9,45,5,10089,33.136475,-86.24845
1,2,18,18,5,1,10090,32.91585,-86.75975278
1,2,19,22,30,2,10091,33.655575,-86.40810278
1,2,15,12,45,5,10092,32.04466389,-86.21395
1,2,15,13,30,5,10093,31.02883889,-87.68365
1,2,14,21,30,4,10094,33.55731111,-86.90448333
1,2,17,23,45,7,10095,30.75617222,-88.25260833
1,2,22,5,50,5,10096,34.71831111,-86.64293611
1,2,5,7,45,2,10097,34.39741389,-86.71077222
1,2,23,10,20,6,10098,33.92556667,-85.58152778
1,2,15,18,45,5,10099,33.59948611,-86.215775
1,2,16,14,5,6,10100,31.63183889,-88.38058056
1,2,17,11,50,7,10101,34.20208056,-86.53366111
1,2,18,20,45,1,10102,33.77536111,-86.24875833
1,2,1,9,9,5,10103,33.34347222,-87.01407778
1,2,12,14,0,2,10104,34.25386944,-88.17276111
1,2,25,1,55,1,10105,30.253725,-87.79776389
1,2,25,15,42,1,10106,33.0992,-86.73854167
1,2,28,13,0,4,10107,33.57983611,-86.47475833
1,2,18,13,55,1,10108,,
1,2,18,15,30,1,10109,,
1,2,22,22,20,5,10110,,
1,2,26,21,57,2,10111,33.66776944,-85.90128056
1,2,14,18,14,4,10112,34.72115556,-86.56323611
1,2,17,3,50,7,10113,,
1,2,19,17,50,2,10114,32.89309167,-86.03374167
1,2,25,10,14,1,10115,31.65328611,-86.77246944
1,2,21,5,45,4,10116,,
1,2,20,12,40,3,10117,34.51246944,-87.71718333
1,2,22,9,25,5,10118,32.35606667,-86.17058889
1,2,17,12,16,7,10119,34.37261111,-86.01479444
1,2,20,18,27,3,10120,,
1,2,2,12,22,6,10121,,
1,2,20,12,15,3,10122,34.72210556,-86.60972778
1,2,22,17,43,5,10123,,
1,2,11,2,50,1,10124,,
1,2,16,14,42,6,10125,31.25015833,-85.42320278
1,2,14,8,15,4,10126,,
1,2,19,9,50,2,10127,33.42775833,-87.502825
1,2,22,7,45,5,10128,33.19801111,-87.53044444
1,2,26,13,52,2,10129,34.75983889,-85.94657778
1,2,23,10,55,6,10130,32.32748889,-86.32037778
1,2,14,18,33,4,10131,32.38195,-86.26879444
1,2,25,19,3,1,10132,34.52123889,-86.88757778
1,2,20,22,30,3,10133,33.282125,-87.80664444
1,3,1,19,35,5,10134,,
1,3,2,15,5,6,10135,,
1,3,2,18,30,6,10136,,
1,3,3,14,9,7,10137,,
1,3,3,7,52,7,10138,,
1,3,1,7,10,5,10139,,
1,3,6,23,25,3,10140,,
1,3,9,7,8,6,10141,,
1,3,7,15,0,4,10142,,
1,3,12,13,45,2,10143,,
1,3,14,8,0,4,10144,,
1,3,1,7,37,5,10145,,
1,3,1,11,50,5,10146,,
1,3,7,13,0,4,10147,,
1,3,11,17,20,1,10148,,
1,3,11,8,45,1,10149,,
1,3,12,14,30,2,10150,,
1,3,12,20,10,2,10151,,
1,3,11,18,13,1,10152,,
1,3,16,24,0,6,10153,,
1,3,18,16,5,1,10154,,
1,3,9,4,0,6,10155,,
1,3,9,23,40,6,10156,,
