STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,CITY
1,115,3,8,19,5,4,10144,0
1,53,3,3,1,15,6,10145,0
1,89,3,10,8,58,6,10146,1730
1,59,3,7,18,49,3,10147,0
1,95,3,7,20,15,3,10148,0
1,73,3,14,3,30,3,10149,1850
1,17,3,13,15,50,2,10150,0
1,127,3,14,9,10,3,10151,0
1,3,3,7,9,25,3,10152,0
1,129,3,1,19,50,4,10153,0
1,97,3,5,12,30,1,10154,0
1,125,3,8,20,40,4,10155,0
1,69,3,13,0,20,2,10156,2961
1,1,3,3,18,20,6,10157,0
1,59,3,18,14,30,7,10158,0
1,69,3,1,9,43,4,10159,140
1,61,3,25,14,55,7,10160,0
1,97,3,6,18,50,2,10161,0
1,125,3,24,12,15,6,10162,0
1,25,3,16,19,45,5,10163,0
1,25,3,19,5,30,1,10164,0
1,3,3,22,7,30,4,10165,0
1,121,3,23,22,55,5,10166,0
1,81,3,26,19,15,1,10167,0
1,11,3,19,22,0,1,10168,0
1,79,3,23,21,5,5,10169,0
1,13,3,26,0,35,1,10170,0
1,95,3,3,12,0,6,10171,50
1,27,3,30,17,40,5,10172,0
1,89,3,11,14,30,7,10173,1730
1,73,3,16,11,10,5,10174,0
1,81,3,30,15,5,5,10175,0
1,113,3,30,7,0,5,10176,0
1,9,3,25,4,15,7,10177,0
1,127,3,24,11,30,6,10178,0
1,95,3,27,16,3,2,10179,0
1,73,3,16,2,5,5,10180,350
1,63,3,26,0,50,1,10181,0
1,3,3,27,18,30,2,10182,1493
1,125,3,24,20,45,6,10183,0
1,25,3,25,3,20,7,10184,0
1,91,3,25,4,35,7,10185,0
1,93,3,10,12,41,6,10186,3300
1,101,3,20,19,3,2,10187,2130
1,65,3,7,10,0,3,10188,1450
1,101,3,30,15,30,5,10189,2130
1,21,3,29,21,8,4,10190,1790
1,73,3,2,6,7,5,10191,1850
1,55,3,11,8,47,7,10192,1280
1,125,3,17,16,0,6,10193,3050
1,73,3,13,8,37,2,10194,330
1,133,3,3,11,47,6,10195,1530
1,95,3,18,20,40,7,10196,400
1,89,3,22,18,57,4,10197,1730
1,125,3,9,6,35,5,10199,2260
1,93,3,27,23,59,2,10200,1540
1,55,3,22,10,0,4,10201,1670
1,7,3,21,17,25,3,10202,0
1,77,3,1,15,50,4,10203,0
1,73,3,12,4,53,1,10204,0
1,115,2,2,9,55,4,10205,2136
1,17,2,12,13,34,7,10206,1830
1,127,4,1,12,50,7,10207,0
1,73,4,1,15,1,7,10208,1850
1,71,4,2,16,10,1,10209,0
1,113,4,5,21,15,4,10210,0
1,33,4,3,8,25,2,10211,660
1,121,4,9,15,20,1,10212,1870
1,31,4,8,22,59,7,10213,0
1,85,4,12,22,20,4,10214,0
1,45,4,13,20,12,5,10215,0
1,97,4,5,6,30,4,10216,0
1,25,4,4,3,45,3,10217,0
1,3,4,7,1,50,6,10218,0
1,119,4,9,1,50,1,10219,0
1,23,4,8,22,20,7,10220,0
1,125,4,11,2,35,3,10221,0
1,15,4,14,14,40,6,10222,0
1,65,4,8,22,0,7,10224,0
1,25,4,9,15,11,1,10225,0
1,3,4,11,19,50,3,10226,0
1,97,4,13,7,0,5,10227,0
1,97,4,15,19,30,7,10228,0
1,97,4,16,4,40,1,10229,0
1,101,4,19,20,40,4,10230,0
1,89,4,20,6,40,5,10231,0
1,21,4,21,14,40,6,10232,0
1,101,4,6,19,55,5,10233,0
1,101,4,18,3,15,3,10234,0
1,1,4,21,17,35,6,10235,0
1,9,4,8,11,25,7,10236,715
1,13,4,9,10,30,1,10237,0
1,9,4,14,17,15,6,10238,0
1,43,4,15,2,55,7,10239,0
1,121,4,15,23,55,7,10240,0
1,97,4,18,7,15,3,10241,0
1,57,4,19,18,0,4,10242,0
1,3,4,21,16,35,6,10243,0
1,75,4,21,1,0,6,10244,0
1,13,4,22,15,25,7,10245,0
1,73,4,25,12,55,3,10246,330
1,65,4,21,14,58,6,10247,0
1,85,4,27,10,50,5,10248,0
1,73,4,17,10,0,2,10249,350
1,63,4,26,23,40,4,10250,0
1,93,4,28,15,3,6,10251,3300
1,89,4,21,10,30,6,10252,0
1,133,4,26,10,9,4,10253,0
1,43,4,21,5,15,6,10254,0
1,113,4,21,13,50,6,10255,0
1,29,4,22,20,0,7,10256,0
1,121,4,28,3,50,6,10257,0
1,101,4,29,15,18,7,10258,0
1,45,4,20,14,45,5,10259,0
1,67,4,21,19,35,6,10260,0
1,109,4,30,11,55,1,10261,0
1,83,4,13,10,35,5,10262,0
1,27,4,21,10,30,6,10263,0
1,33,4,25,0,15,3,10264,0
1,73,4,5,15,59,4,10265,0
1,115,4,6,5,30,5,10266,0
1,3,4,30,20,0,1,10267,1493
1,125,4,26,7,25,4,10268,2260
1,43,4,18,19,10,3,10269,0
1,97,4,22,7,15,7,10270,0
1,119,4,22,17,30,7,10271,0
1,73,4,17,21,0,2,10272,330
1,47,4,24,12,10,2,10273,0
1,73,4,20,23,55,5,10274,1717
1,113,4,20,22,8,5,10275,0
1,127,4,26,18,45,4,10276,0
1,47,4,28,10,25,6,10277,0
1,73,4,27,17,58,5,10278,0
1,89,4,26,18,39,4,10279,1730
1,97,4,7,23,52,6,10280,0
1,65,4,7,14,0,6,10281,0
1,123,4,20,11,30,5,10282,60
1,101,4,22,18,21,7,10283,2130
1,39,4,25,22,30,3,10284,2580
1,3,4,22,14,32,7,10285,0
1,117,4,14,18,15,6,10286,0
1,63,4,6,11,45,5,10287,0
1,117,4,27,6,20,5,10288,0
1,103,4,29,14,35,7,10289,890
1,103,1,23,17,30,1,10290,0
1,89,1,31,18,58,2,10291,0
1,13,2,16,21,54,4,10292,0
1,127,2,17,7,15,5,10293,2200
1,95,3,22,17,50,4,10294,0
1,15,5,5,0,1,6,10295,0
1,121,5,2,20,50,3,10296,0
1,57,5,8,20,0,2,10297,0
