STATE,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,LATITUDE,LONGITUD
1,1,26,15,30,2,10001,30.50854722,-88.34317222
1,2,1,23,55,1,10002,32.15530278,-86.27123611
1,2,2,5,10,2,10003,32.67245278,-85.59367222
1,1,18,22,14,1,10004,32.39193333,-86.39044167
1,1,20,13,5,3,10005,32.36125278,-86.23019722
1,1,31,2,40,7,10006,33.46831667,-86.70810278
1,1,14,19,0,4,10007,33.43198056,-86.74090833
1,1,24,19,45,7,10008,33.52555,-86.76951667
1,1,23,19,34,6,10009,30.66530556,-88.10621389
1,1,31,23,33,7,10010,30.44421111,-88.11428333
1,1,20,0,15,3,10011,30.49425278,-88.25678611
1,1,19,0,40,2,10012,30.47252778,-88.30928056
1,2,5,6,10,5,10013,32.45178889,-85.01409167
1,1,1,3,25,5,10014,30.523675,-87.82198333
1,2,5,14,20,5,10015,,
1,2,8,14,5,1,10016,30.80435278,-88.25011111
1,2,3,0,59,3,10017,,
1,1,23,2,15,6,10018,31.9876,-85.11433889
1,1,30,16,25,6,10019,,
1,1,17,11,5,7,10020,32.021775,-85.08564722
1,1,23,5,0,6,10021,33.91879722,-86.60843333
1,1,6,5,50,3,10022,31.883675,-85.50048056
1,2,5,18,19,5,10023,31.00289167,-87.49226944
1,2,7,0,45,7,10024,31.21474722,-85.38648611
1,2,9,17,45,2,10025,,
1,2,10,13,10,3,10026,32.69453611,-85.28479167
1,1,5,6,30,2,10027,34.17005,-86.88657778
1,1,11,14,50,1,10028,34.01365556,-86.92295278
1,1,6,5,55,3,10029,31.31278333,-85.46826111
1,1,16,21,0,6,10030,32.310175,-87.13053056
1,1,3,9,58,7,10031,32.50770556,-86.38320278
1,1,16,18,30,6,10033,33.78696667,-87.7992
1,2,12,6,50,5,10034,33.27385278,-87.238
1,1,30,17,30,6,10035,34.12839722,-86.12045833
1,2,13,7,20,6,10036,32.84265833,-85.43829444
1,1,30,4,50,6,10037,31.15585,-85.4978
1,1,6,19,5,3,10038,33.76569167,-85.77207222
1,1,3,7,15,7,10039,33.59567222,-85.85154722
1,1,3,15,30,7,10040,32.89786667,-85.36845833
1,1,1,9,55,5,10041,32.72114722,-86.65308611
1,1,2,1,0,6,10042,31.96818056,-87.82294722
1,1,21,14,25,4,10043,31.46354167,-86.26366667
1,1,24,23,0,7,10044,31.91377222,-86.31623056
1,1,24,5,50,7,10045,31.50895278,-85.29120556
1,1,28,7,30,4,10046,31.39653056,-85.35183611
1,1,22,12,35,5,10047,31.24197778,-85.63037222
1,1,4,20,20,1,10048,31.10928056,-85.405
1,1,24,18,40,7,10049,34.77195833,-85.89556667
1,1,29,22,26,5,10050,34.47998333,-87.4336
1,1,4,9,0,1,10051,32.72541667,-85.5564
1,1,1,4,50,5,10052,34.83561111,-87.21481944
1,1,17,15,10,7,10053,34.88844167,-86.82611111
1,1,1,8,0,5,10055,32.30570833,-86.59971944
1,1,2,20,45,6,10056,32.38565,-85.99686667
1,1,3,14,0,7,10057,34.49935833,-86.76595833
1,1,2,8,45,6,10058,32.25615556,-86.73188889
1,1,4,0,1,1,10059,33.51209722,-86.55058611
1,2,14,12,15,7,10060,34.57029722,-87.38384444
1,2,14,19,37,7,10061,,
1,2,15,10,15,1,10062,34.95773889,-87.52755833
1,1,5,0,15,2,10063,34.8052,-86.71353889
1,1,5,5,0,2,10064,33.58439167,-86.03715833
1,2,15,4,5,1,10065,34.03114444,-86.57501111
1,1,6,13,25,3,10066,32.08514444,-85.15396667
1,2,15,1,10,1,10067,32.21040556,-87.39804444
1,2,17,9,41,3,10068,32.97541389,-85.40331111
1,1,8,12,13,5,10069,32.50625,-85.74217222
1,2,17,21,5,3,10070,,
1,1,14,17,45,4,10071,34.85973333,-86.74916667
1,1,7,15,33,4,10072,33.22988889,-87.69539444
1,1,14,4,15,4,10073,33.25288056,-87.12547778
1,1,8,18,30,5,10074,33.23025,-85.35717778
1,1,8,5,10,5,10075,32.50981111,-88.32114722
1,2,17,8,35,3,10076,31.58643889,-85.55378611
1,2,17,5,45,3,10077,34.19695,-86.92145833
1,2,20,10,15,6,10078,34.52683056,-86.97171111
1,2,12,4,45,5,10079,34.49095,-86.83960833
1,2,8,2,55,1,10080,33.12340833,-87.49358889
1,1,16,16,5,6,10081,34.84811111,-86.57126944
1,1,17,15,15,7,10082,34.29955,-87.33396389
1,1,17,4,30,7,10083,32.95292778,-88.29689444
1,1,22,5,0,5,10084,33.47830556,-86.20114167
1,2,20,14,20,6,10085,30.52808611,-87.51480556
1,1,29,15,50,5,10086,34.83580556,-86.52351667
1,1,30,14,45,6,10087,34.35789444,-86.75721667
1,1,31,2,20,7,10088,32.48938333,-85.63135278
1,2,22,11,45,1,10089,,
1,2,24,22,50,3,10090,30.59363056,-88.15623611
1,2,25,14,0,4,10091,33.81614722,-86.98336944
1,2,21,0,14,7,10092,32.87046389,-85.19724444
1,2,24,19,15,3,10093,34.23724167,-87.72696389
1,2,28,1,20,7,10094,34.045,-87.22248611
1,2,24,23,45,3,10095,34.20749444,-86.87864444
1,3,3,5,55,4,10096,34.08914722,-86.86638056
1,3,5,14,58,6,10097,34.73113611,-87.85414167
1,2,29,14,35,1,10098,33.60385556,-86.02181944
1,2,29,12,0,1,10099,32.59503056,-85.81593056
1,3,5,15,0,6,10100,33.59515556,-87.60336111
1,2,27,6,5,6,10101,34.81348611,-86.84148889
1,2,24,14,30,3,10102,33.12573889,-87.48350556
1,2,28,21,30,7,10103,32.47273611,-86.101925
1,3,4,10,45,5,10104,33.35402222,-86.74995
1,2,22,15,50,1,10105,33.47063889,-86.57851944
1,2,26,15,20,5,10106,34.45814167,-86.34964167
1,3,3,7,55,4,10107,32.486025,-86.18945278
1,3,6,15,35,7,10108,,
1,1,15,6,36,5,10109,33.56134444,-86.72878889
1,3,6,19,11,7,10110,33.45688889,-85.58576389
1,3,9,19,0,3,10111,32.8153,-86.31983611
1,3,4,9,55,5,10112,30.4064,-87.68203056
1,3,19,16,5,6,10113,34.29040278,-85.51932778
1,3,4,18,17,5,10114,33.66366944,-85.83658889
1,3,5,21,35,6,10115,31.71836111,-86.24774444
1,2,28,18,5,7,10116,34.75361944,-87.96228333
1,3,7,10,20,1,10117,31.98499167,-86.52826667
1,3,7,0,46,1,10118,30.80311111,-88.24694167
1,3,7,1,30,1,10119,33.85220833,-86.80610833
1,3,7,1,18,1,10120,30.65934722,-87.82529722
1,3,8,14,0,2,10121,33.06619722,-85.87559722
1,3,8,16,20,2,10122,,
1,3,9,22,15,3,10123,33.21224444,-86.79868333
1,3,11,6,40,5,10124,32.92315833,-87.86533056
1,3,12,17,27,6,10125,34.41841111,-85.94807222
1,3,13,4,40,7,10126,33.605075,-85.83156389
