STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,DAY_WEEK,ST_CASE
1.0000,121.0000,2.0000,12.0000,78.0000,6.0000,20.0000,1.0000,10070.0000
1.0000,123.0000,2.0000,10.0000,78.0000,22.0000,58.0000,6.0000,10071.0000
1.0000,35.0000,2.0000,13.0000,78.0000,14.0000,10.0000,2.0000,10072.0000
1.0000,89.0000,2.0000,14.0000,78.0000,18.0000,30.0000,3.0000,10073.0000
1.0000,77.0000,2.0000,16.0000,78.0000,0.0000,42.0000,5.0000,10074.0000
1.0000,79.0000,2.0000,10.0000,78.0000,10.0000,30.0000,6.0000,10075.0000
1.0000,95.0000,2.0000,13.0000,78.0000,19.0000,15.0000,2.0000,10076.0000
1.0000,45.0000,2.0000,12.0000,78.0000,18.0000,5.0000,1.0000,10077.0000
1.0000,69.0000,2.0000,8.0000,78.0000,17.0000,9.0000,4.0000,10078.0000
1.0000,55.0000,2.0000,16.0000,78.0000,19.0000,33.0000,5.0000,10079.0000
1.0000,45.0000,2.0000,18.0000,78.0000,5.0000,30.0000,7.0000,10080.0000
1.0000,89.0000,2.0000,17.0000,78.0000,16.0000,15.0000,6.0000,10081.0000
1.0000,51.0000,2.0000,18.0000,78.0000,20.0000,0.0000,7.0000,10082.0000
1.0000,55.0000,2.0000,15.0000,78.0000,7.0000,3.0000,4.0000,10083.0000
1.0000,125.0000,2.0000,17.0000,78.0000,2.0000,30.0000,6.0000,10084.0000
1.0000,55.0000,1.0000,29.0000,78.0000,17.0000,50.0000,1.0000,10085.0000
1.0000,55.0000,2.0000,16.0000,78.0000,7.0000,10.0000,5.0000,10086.0000
1.0000,55.0000,2.0000,6.0000,78.0000,21.0000,30.0000,2.0000,10087.0000
1.0000,71.0000,2.0000,16.0000,78.0000,16.0000,15.0000,5.0000,10088.0000
1.0000,133.0000,2.0000,14.0000,78.0000,20.0000,40.0000,3.0000,10089.0000
1.0000,101.0000,2.0000,19.0000,78.0000,19.0000,4.0000,1.0000,10092.0000
1.0000,51.0000,2.0000,18.0000,78.0000,16.0000,15.0000,7.0000,10093.0000
1.0000,3.0000,2.0000,24.0000,78.0000,13.0000,32.0000,6.0000,10094.0000
1.0000,85.0000,2.0000,24.0000,78.0000,19.0000,45.0000,6.0000,10095.0000
1.0000,39.0000,2.0000,22.0000,78.0000,13.0000,30.0000,4.0000,10096.0000
1.0000,97.0000,2.0000,25.0000,78.0000,18.0000,12.0000,7.0000,10097.0000
1.0000,125.0000,2.0000,28.0000,78.0000,6.0000,9.0000,3.0000,10098.0000
1.0000,15.0000,2.0000,22.0000,78.0000,21.0000,12.0000,4.0000,10099.0000
1.0000,115.0000,2.0000,26.0000,78.0000,23.0000,45.0000,1.0000,10100.0000
1.0000,23.0000,2.0000,22.0000,78.0000,19.0000,30.0000,4.0000,10101.0000
1.0000,97.0000,2.0000,27.0000,78.0000,21.0000,43.0000,2.0000,10102.0000
1.0000,97.0000,2.0000,24.0000,78.0000,19.0000,35.0000,6.0000,10104.0000
1.0000,71.0000,2.0000,19.0000,78.0000,7.0000,53.0000,1.0000,10105.0000
1.0000,127.0000,2.0000,8.0000,78.0000,21.0000,41.0000,4.0000,10106.0000
1.0000,89.0000,2.0000,28.0000,78.0000,22.0000,31.0000,3.0000,10107.0000
1.0000,105.0000,2.0000,9.0000,78.0000,14.0000,43.0000,5.0000,10108.0000
1.0000,105.0000,2.0000,10.0000,78.0000,13.0000,10.0000,6.0000,10109.0000
1.0000,67.0000,2.0000,20.0000,78.0000,17.0000,30.0000,2.0000,10110.0000
1.0000,117.0000,2.0000,27.0000,78.0000,18.0000,0.0000,2.0000,10111.0000
1.0000,101.0000,3.0000,3.0000,78.0000,18.0000,10.0000,6.0000,10112.0000
1.0000,55.0000,3.0000,1.0000,78.0000,11.0000,33.0000,4.0000,10113.0000
1.0000,73.0000,3.0000,6.0000,78.0000,7.0000,0.0000,2.0000,10114.0000
1.0000,35.0000,3.0000,3.0000,78.0000,16.0000,30.0000,6.0000,10115.0000
1.0000,47.0000,3.0000,3.0000,78.0000,18.0000,50.0000,6.0000,10116.0000
1.0000,89.0000,3.0000,6.0000,78.0000,20.0000,48.0000,2.0000,10117.0000
1.0000,91.0000,3.0000,2.0000,78.0000,20.0000,0.0000,5.0000,10118.0000
1.0000,73.0000,3.0000,2.0000,78.0000,11.0000,45.0000,5.0000,10119.0000
1.0000,103.0000,3.0000,1.0000,78.0000,24.0000,0.0000,4.0000,10120.0000
1.0000,103.0000,3.0000,1.0000,78.0000,18.0000,45.0000,4.0000,10121.0000
1.0000,121.0000,3.0000,3.0000,78.0000,11.0000,9.0000,6.0000,10122.0000
1.0000,49.0000,3.0000,2.0000,78.0000,15.0000,40.0000,5.0000,10123.0000
1.0000,95.0000,2.0000,18.0000,78.0000,4.0000,32.0000,7.0000,10124.0000
1.0000,97.0000,3.0000,12.0000,78.0000,5.0000,15.0000,1.0000,10125.0000
1.0000,97.0000,2.0000,16.0000,78.0000,7.0000,36.0000,5.0000,10126.0000
1.0000,75.0000,3.0000,1.0000,78.0000,6.0000,35.0000,4.0000,10127.0000
1.0000,79.0000,3.0000,10.0000,78.0000,21.0000,55.0000,6.0000,10128.0000
1.0000,73.0000,3.0000,2.0000,78.0000,11.0000,10.0000,5.0000,10129.0000
1.0000,127.0000,3.0000,3.0000,78.0000,18.0000,35.0000,6.0000,10130.0000
1.0000,19.0000,2.0000,19.0000,78.0000,23.0000,15.0000,1.0000,10131.0000
1.0000,73.0000,3.0000,6.0000,78.0000,19.0000,16.0000,2.0000,10132.0000
1.0000,73.0000,3.0000,11.0000,78.0000,14.0000,0.0000,7.0000,10133.0000
1.0000,89.0000,3.0000,13.0000,78.0000,23.0000,45.0000,2.0000,10134.0000
1.0000,53.0000,3.0000,12.0000,78.0000,2.0000,0.0000,1.0000,10135.0000
1.0000,69.0000,2.0000,10.0000,78.0000,14.0000,0.0000,6.0000,10136.0000
1.0000,55.0000,2.0000,27.0000,78.0000,99.0000,99.0000,2.0000,10138.0000
1.0000,3.0000,3.0000,14.0000,78.0000,16.0000,0.0000,3.0000,10139.0000
1.0000,17.0000,3.0000,4.0000,78.0000,16.0000,10.0000,7.0000,10140.0000
1.0000,97.0000,3.0000,16.0000,78.0000,17.0000,5.0000,5.0000,10141.0000
1.0000,89.0000,3.0000,18.0000,78.0000,0.0000,5.0000,7.0000,10142.0000
1.0000,27.0000,3.0000,11.0000,78.0000,5.0000,0.0000,7.0000,10143.0000
1.0000,119.0000,3.0000,13.0000,78.0000,22.0000,45.0000,2.0000,10144.0000
1.0000,27.0000,3.0000,12.0000,78.0000,17.0000,0.0000,1.0000,10145.0000
1.0000,31.0000,3.0000,14.0000,78.0000,20.0000,30.0000,3.0000,10146.0000
1.0000,9.0000,2.0000,26.0000,78.0000,10.0000,20.0000,1.0000,10147.0000
1.0000,89.0000,3.0000,21.0000,78.0000,12.0000,10.0000,3.0000,10148.0000
1.0000,69.0000,3.0000,20.0000,78.0000,17.0000,23.0000,2.0000,10149.0000
1.0000,101.0000,3.0000,19.0000,78.0000,4.0000,0.0000,1.0000,10150.0000
1.0000,73.0000,3.0000,18.0000,78.0000,4.0000,19.0000,7.0000,10151.0000
1.0000,73.0000,3.0000,16.0000,78.0000,23.0000,0.0000,5.0000,10152.0000
1.0000,33.0000,3.0000,10.0000,78.0000,13.0000,30.0000,6.0000,10153.0000
1.0000,73.0000,3.0000,12.0000,78.0000,4.0000,30.0000,1.0000,10154.0000
1.0000,103.0000,3.0000,18.0000,78.0000,0.0000,30.0000,7.0000,10155.0000
1.0000,109.0000,3.0000,18.0000,78.0000,8.0000,35.0000,7.0000,10156.0000
1.0000,103.0000,3.0000,16.0000,78.0000,17.0000,45.0000,5.0000,10157.0000
1.0000,117.0000,3.0000,17.0000,78.0000,20.0000,20.0000,6.0000,10158.0000
1.0000,127.0000,3.0000,19.0000,78.0000,20.0000,45.0000,1.0000,10159.0000
1.0000,27.0000,3.0000,19.0000,78.0000,18.0000,20.0000,1.0000,10160.0000
1.0000,47.0000,2.0000,24.0000,78.0000,23.0000,12.0000,6.0000,10161.0000
1.0000,15.0000,2.0000,25.0000,78.0000,11.0000,50.0000,7.0000,10162.0000
1.0000,3.0000,3.0000,25.0000,78.0000,19.0000,0.0000,7.0000,10163.0000
1.0000,3.0000,3.0000,22.0000,78.0000,1.0000,30.0000,4.0000,10164.0000
1.0000,3.0000,3.0000,24.0000,78.0000,16.0000,40.0000,6.0000,10165.0000
1.0000,93.0000,3.0000,25.0000,78.0000,14.0000,45.0000,7.0000,10166.0000
1.0000,133.0000,3.0000,24.0000,78.0000,19.0000,15.0000,6.0000,10167.0000
1.0000,95.0000,3.0000,21.0000,78.0000,11.0000,3.0000,3.0000,10168.0000
1.0000,55.0000,3.0000,22.0000,78.0000,18.0000,40.0000,4.0000,10169.0000
1.0000,3.0000,3.0000,24.0000,78.0000,9.0000,40.0000,6.0000,10170.0000
1.0000,41.0000,3.0000,25.0000,78.0000,4.0000,0.0000,7.0000,10171.0000
1.0000,3.0000,3.0000,25.0000,78.0000,1.0000,50.0000,7.0000,10172.0000
1.0000,63.0000,3.0000,12.0000,78.0000,0.0000,40.0000,1.0000,10173.0000
1.0000,89.0000,3.0000,29.0000,78.0000,13.0000,14.0000,4.0000,10174.0000
1.0000,45.0000,3.0000,27.0000,78.0000,18.0000,5.0000,2.0000,10175.0000
1.0000,49.0000,3.0000,28.0000,78.0000,19.0000,10.0000,3.0000,10176.0000
1.0000,71.0000,3.0000,23.0000,78.0000,8.0000,30.0000,5.0000,10177.0000
1.0000,127.0000,3.0000,25.0000,78.0000,17.0000,35.0000,7.0000,10178.0000
1.0000,23.0000,3.0000,25.0000,78.0000,16.0000,0.0000,7.0000,10179.0000
1.0000,101.0000,4.0000,4.0000,78.0000,16.0000,50.0000,3.0000,10180.0000
1.0000,85.0000,4.0000,2.0000,78.0000,13.0000,15.0000,1.0000,10181.0000
1.0000,115.0000,4.0000,5.0000,78.0000,14.0000,40.0000,4.0000,10182.0000
1.0000,101.0000,4.0000,8.0000,78.0000,18.0000,40.0000,7.0000,10183.0000
1.0000,51.0000,4.0000,7.0000,78.0000,17.0000,10.0000,6.0000,10184.0000
1.0000,73.0000,4.0000,9.0000,78.0000,18.0000,27.0000,1.0000,10185.0000
1.0000,117.0000,4.0000,5.0000,78.0000,11.0000,3.0000,4.0000,10186.0000
1.0000,73.0000,4.0000,6.0000,78.0000,20.0000,3.0000,5.0000,10187.0000
1.0000,73.0000,4.0000,8.0000,78.0000,11.0000,25.0000,7.0000,10188.0000
1.0000,103.0000,3.0000,24.0000,78.0000,17.0000,15.0000,6.0000,10189.0000
1.0000,97.0000,4.0000,8.0000,78.0000,10.0000,0.0000,7.0000,10190.0000
1.0000,89.0000,4.0000,9.0000,78.0000,14.0000,40.0000,1.0000,10191.0000
1.0000,77.0000,4.0000,2.0000,78.0000,13.0000,45.0000,1.0000,10192.0000
1.0000,73.0000,3.0000,2.0000,78.0000,17.0000,40.0000,5.0000,10193.0000
1.0000,97.0000,3.0000,14.0000,78.0000,8.0000,45.0000,3.0000,10194.0000
1.0000,97.0000,4.0000,12.0000,78.0000,22.0000,25.0000,4.0000,10195.0000
1.0000,97.0000,4.0000,14.0000,78.0000,2.0000,18.0000,6.0000,10196.0000
1.0000,11.0000,4.0000,13.0000,78.0000,17.0000,40.0000,5.0000,10197.0000
1.0000,115.0000,4.0000,10.0000,78.0000,11.0000,40.0000,2.0000,10198.0000
1.0000,43.0000,3.0000,1.0000,78.0000,17.0000,15.0000,4.0000,10199.0000
1.0000,101.0000,4.0000,17.0000,78.0000,0.0000,30.0000,2.0000,10200.0000
1.0000,101.0000,4.0000,12.0000,78.0000,16.0000,5.0000,4.0000,10201.0000
1.0000,21.0000,4.0000,16.0000,78.0000,16.0000,45.0000,1.0000,10202.0000
1.0000,35.0000,4.0000,15.0000,78.0000,15.0000,15.0000,7.0000,10203.0000
1.0000,51.0000,3.0000,29.0000,78.0000,17.0000,30.0000,4.0000,10204.0000
1.0000,63.0000,4.0000,8.0000,78.0000,20.0000,25.0000,7.0000,10205.0000
1.0000,117.0000,4.0000,15.0000,78.0000,23.0000,12.0000,7.0000,10206.0000
1.0000,123.0000,4.0000,8.0000,78.0000,23.0000,35.0000,7.0000,10207.0000
1.0000,127.0000,4.0000,16.0000,78.0000,17.0000,0.0000,1.0000,10208.0000
