STATE,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,LATITUDE,LONGITUD
1,1,13,17,38,1,10001,34.32694722,-86.48956667
1,1,18,12,5,6,10002,33.52088333,-86.84773889
1,1,1,2,0,3,10003,32.47751111,-86.34662778
1,1,23,10,25,4,10004,30.81478611,-88.17191667
1,1,3,21,45,5,10005,32.32634722,-86.320975
1,1,29,4,52,3,10006,32.65793333,-85.34298611
1,1,5,16,22,7,10007,30.73479722,-88.07083889
1,1,31,15,50,5,10008,32.63461944,-85.47734722
1,1,13,16,15,1,10009,33.52606944,-86.87268889
1,1,1,6,5,3,10010,33.62683056,-85.70364722
1,1,1,6,55,3,10011,34.20256389,-85.91345833
1,1,3,21,15,5,10012,34.62005556,-86.14524722
1,1,4,8,17,6,10013,30.67315556,-88.08705
1,1,5,13,45,7,10014,31.43115556,-85.74907778
1,1,5,17,55,7,10015,33.492025,-86.83213611
1,1,5,15,2,7,10016,33.10942778,-87.92576111
1,1,7,12,45,2,10017,33.78418611,-85.92316111
1,1,9,0,30,4,10018,31.16199722,-85.73635278
1,1,25,19,5,6,10019,30.59275556,-87.73211667
1,1,9,12,30,4,10020,31.75701389,-88.16310278
1,1,10,9,1,5,10021,31.54491389,-87.51327778
1,1,12,3,0,7,10022,32.288275,-86.98980556
1,1,13,16,15,1,10023,32.04581944,-86.54200833
1,1,11,3,30,6,10024,31.55671389,-85.18376944
1,1,15,10,50,3,10025,31.94962778,-86.51699167
1,1,11,15,5,6,10026,32.25363889,-86.17879444
1,1,15,6,20,3,10027,30.75988333,-88.31061944
1,1,16,17,25,4,10028,33.650875,-86.82413611
1,1,16,18,0,4,10029,33.08621667,-86.74900278
1,1,24,12,45,5,10030,33.91645833,-86.10338333
1,1,25,15,22,6,10031,33.08621389,-86.749
1,1,25,21,35,6,10032,33.84118333,-87.35077778
1,1,19,8,25,7,10033,32.21797778,-88.07177222
1,1,26,6,40,7,10034,31.62601944,-86.45431667
1,1,20,4,0,1,10035,33.98171944,-87.18139167
1,1,26,7,30,7,10036,34.90473611,-87.62771389
1,1,21,18,25,2,10037,32.73235,-85.19117222
1,1,21,20,10,2,10038,33.64117222,-86.02627222
1,1,26,7,58,7,10039,34.76019444,-88.08299167
1,1,27,3,40,1,10040,31.00389722,-87.03840833
1,1,27,16,25,1,10041,33.70716389,-87.71786667
1,1,27,1,50,1,10042,33.80178889,-86.39763889
1,1,27,11,10,1,10043,34.81825,-87.303775
1,1,30,1,40,4,10044,33.89296944,-87.1244
1,1,30,14,0,4,10045,32.26691389,-86.35508611
1,2,3,16,10,1,10046,32.64450556,-86.12294444
1,2,3,0,4,1,10047,33.55949722,-86.16268333
1,2,3,21,17,1,10048,31.01238056,-87.62364722
1,1,10,20,15,5,10049,32.368,-86.30009167
1,2,6,7,5,4,10050,32.66891111,-86.25330556
1,1,8,15,29,3,10051,34.24929444,-86.99741667
1,2,6,8,0,4,10052,31.12200278,-87.82461667
1,2,8,20,7,6,10053,33.25775556,-87.07724722
1,2,9,5,45,7,10054,31.56341111,-86.736925
1,1,13,1,20,1,10055,34.68900278,-86.92544444
1,2,9,17,20,7,10056,33.87606111,-87.46906111
1,1,30,7,15,4,10057,31.94691667,-87.15524167
1,2,11,17,10,2,10058,31.22776667,-87.17925278
1,1,22,16,50,3,10059,33.37864167,-87.70011389
1,2,14,7,50,5,10060,32.70286389,-86.49048056
1,2,15,12,30,6,10061,31.39926667,-85.97068333
1,1,26,22,15,7,10062,33.16293056,-88.17020833
1,2,1,17,0,6,10063,32.87391389,-87.91623889
1,2,2,16,0,7,10064,32.10380278,-86.4049
1,1,22,18,35,3,10065,31.42553889,-86.08143056
1,2,8,12,20,6,10066,33.45809722,-86.95028056
1,1,25,19,23,6,10067,34.54080556,-86.68541944
1,2,12,8,30,3,10068,34.53791111,-87.1591
1,2,14,9,25,5,10069,30.71939722,-88.40417778
1,1,15,21,50,3,10070,34.32418889,-87.57966111
1,2,16,20,52,7,10071,33.55933333,-86.63994167
1,1,26,18,14,7,10072,31.214225,-85.59692778
1,2,18,19,34,2,10073,31.823,-86.82994444
1,2,2,18,9,7,10074,34.49502778,-86.38745556
1,2,2,15,20,7,10075,34.1263,-86.68025833
1,2,5,19,30,3,10076,33.76814167,-85.76982778
1,2,5,22,50,3,10077,33.98270833,-86.06880556
1,2,18,12,5,2,10078,33.7633,-87.79629167
1,2,7,16,0,5,10079,31.06900556,-86.40243333
1,2,22,5,50,6,10080,31.309425,-85.52295278
1,2,8,13,45,6,10081,31.46688333,-87.33986389
1,2,24,20,0,1,10082,32.20466389,-86.41201944
1,2,4,12,8,2,10083,32.49053333,-85.02993056
1,1,24,9,16,5,10084,33.60763333,-86.95821944
1,2,18,20,46,2,10085,33.83841111,-87.25463056
1,3,8,5,10,7,10086,33.51048889,-86.81401667
1,1,5,20,29,7,10087,30.38848889,-87.64764444
1,1,23,1,5,4,10088,34.65580278,-86.95047778
1,2,1,17,58,6,10089,30.65000278,-88.07483333
1,2,2,2,55,7,10090,33.26634444,-87.59091944
1,2,22,8,45,6,10091,31.90083611,-87.08646944
1,2,22,23,55,6,10092,34.085525,-86.97500556
1,2,6,12,22,4,10093,32.50152222,-85.05869722
1,2,23,15,15,7,10094,33.481675,-86.57001389
1,2,25,0,25,2,10095,32.51215,-85.59044722
1,2,8,19,25,6,10096,32.77204722,-87.75767222
1,2,26,12,55,3,10097,31.76706944,-85.961075
1,2,8,16,10,6,10098,33.90574722,-86.94078611
1,2,11,7,48,2,10099,30.63501389,-88.09911944
1,2,28,16,15,5,10100,34.00041667,-86.95519167
1,2,11,22,0,2,10101,33.71293056,-85.68192222
1,2,17,2,12,1,10102,33.24096667,-87.09068333
1,3,1,14,35,7,10103,32.16549444,-85.26592222
1,2,18,14,40,2,10104,34.49426667,-86.34721667
1,2,18,17,50,2,10105,34.4162,-87.16084444
1,2,19,19,50,3,10106,33.61888889,-86.81490833
1,3,1,1,0,7,10107,32.52289722,-85.2625
1,3,3,10,20,2,10108,32.749275,-86.50308611
1,3,5,18,15,4,10109,33.82929444,-85.91095
1,3,5,18,55,4,10110,32.995675,-85.99317222
1,3,11,13,50,3,10111,32.021175,-86.76426944
1,2,22,23,21,6,10112,34.94491111,-87.18754167
1,3,2,17,0,1,10113,34.01189444,-85.56635278
1,2,23,20,13,7,10114,33.22088333,-87.57146389
1,3,6,23,15,5,10115,34.81909722,-86.74920556
1,3,16,17,10,1,10116,33.51541111,-86.82341944
1,3,23,11,56,1,10117,33.55308611,-86.72086111
1,3,21,20,0,6,10118,32.51085556,-86.03328056
1,2,23,22,26,7,10119,33.64291111,-86.61449444
1,3,21,19,58,6,10120,34.10961667,-85.57217778
1,2,20,15,15,4,10121,34.80638611,-87.05393611
1,2,20,15,15,4,10122,34.37179722,-86.90931944
1,3,13,5,50,5,10123,34.31513611,-86.07937222
1,2,24,10,45,1,10124,30.82241944,-88.25163889
1,3,8,8,11,7,10125,32.366325,-86.14715833
1,3,11,21,45,3,10126,32.43445833,-87.78386111
1,3,12,2,0,4,10127,34.89573333,-86.74684444
1,3,13,4,30,5,10128,33.089325,-87.67534167
1,3,14,6,0,6,10129,34.24783333,-87.95763611
1,3,15,0,15,7,10130,32.63537222,-86.28101944
1,3,16,18,15,1,10131,32.76144722,-85.19708611
1,3,6,21,30,5,10132,31.36941667,-85.84179722
1,2,29,22,30,6,10133,32.68385833,-86.54788889
1,3,8,22,30,7,10134,30.50735,-88.25895556
1,3,12,6,2,4,10135,33.15968611,-87.153125
1,3,12,10,5,4,10136,33.42440833,-86.95703333
1,3,13,22,15,5,10137,30.822675,-88.24812778
1,3,16,3,15,1,10138,33.41166111,-86.93628333
1,3,29,22,51,7,10139,32.49084444,-86.36534444
1,3,19,12,0,4,10140,33.60526389,-85.81911667
1,3,29,18,35,7,10141,31.39175278,-87.36851667
1,3,19,9,15,4,10142,33.7886,-87.09045
1,3,29,4,30,7,10143,33.436725,-85.51978889
1,3,30,17,50,1,10144,34.63851389,-85.81131111
1,3,13,5,20,5,10145,34.47405833,-87.00190278
1,3,13,20,5,5,10146,30.73925278,-88.09444444
1,3,30,0,58,1,10147,33.59603333,-86.76049167
1,3,16,1,11,1,10148,33.45669722,-87.19373333
1,4,1,5,55,3,10149,30.68548611,-88.14488056
1,3,15,16,55,7,10150,32.55068333,-87.83487778
1,2,21,11,5,5,10151,33.77914722,-87.08283889
1,3,6,13,35,5,10152,34.92710833,-87.01266389
1,3,17,15,53,2,10153,34.82481389,-85.78577778
1,3,8,23,5,7,10154,34.62776111,-87.09015833
1,3,14,8,20,6,10155,34.85963056,-86.73097222
1,3,28,13,20,6,10156,30.64725278,-88.12956111
1,1,26,4,30,7,10157,30.68493611,-88.05798333
1,4,4,22,15,6,10158,31.10137778,-86.94640278
1,1,8,2,40,3,10159,33.56137778,-86.82791111
1,1,10,6,12,5,10160,33.526425,-86.85028611
1,1,9,6,25,4,10161,33.48881667,-86.79320556
1,3,24,18,10,2,10162,33.36685278,-86.88468056
1,3,30,2,31,1,10163,33.38370556,-86.98956389
1,3,31,19,25,2,10164,33.39164167,-87.01354167
1,3,27,22,45,5,10165,34.01222222,-85.76818333
1,4,8,13,15,3,10166,32.86632222,-87.44718056
1,3,13,19,30,5,10167,34.05064167,-86.11166944
1,4,6,1,30,1,10168,34.06951111,-85.79508889
1,4,5,5,10,7,10169,33.85646944,-85.90383889
1,3,21,10,55,6,10170,33.39730278,-86.77928889
1,4,12,4,0,7,10171,32.18574722,-86.68659167
1,4,12,4,48,7,10172,32.56547778,-86.16989167
1,3,22,19,5,7,10173,32.12626944,-87.71435
1,4,9,4,0,4,10174,33.437475,-86.22737778
1,4,5,5,31,7,10175,32.73052222,-87.66197222
1,3,25,17,1,3,10176,32.61321111,-85.40899167
1,3,23,12,42,1,10177,32.79954444,-86.579525
1,4,3,20,55,5,10178,34.48993333,-87.672975
1,4,6,15,0,1,10179,30.65989722,-88.05965833
1,3,10,13,30,2,10180,34.98565556,-87.64721944
1,4,5,8,5,7,10181,32.36082222,-86.17512778
1,4,13,7,25,1,10182,33.42462222,-86.88546111
1,4,19,4,0,7,10183,30.6833,-88.06339167
1,3,3,15,15,2,10184,31.77314444,-88.32900556
1,3,20,18,18,5,10185,32.50220278,-85.04849722
1,4,11,23,55,6,10186,32.390725,-85.90804444
1,3,27,21,4,5,10187,34.22407222,-87.66299167
1,4,9,20,25,4,10188,32.81079444,-86.70796389
1,4,12,1,13,7,10189,32.50172778,-86.39197778
1,4,9,18,30,4,10190,33.65996111,-85.87400278
1,4,12,3,30,7,10191,33.23473889,-87.14454167
1,4,14,10,35,2,10192,31.96042778,-88.37797222
1,4,14,1,40,2,10193,31.57285,-88.29175556
1,4,16,12,13,4,10194,32.69504722,-85.14575833
1,4,19,5,50,7,10195,31.00417222,-87.027125
1,4,20,6,0,1,10196,32.78348889,-86.57350278
1,3,16,3,14,1,10197,30.402075,-87.77136389
1,4,5,11,40,7,10198,33.52880278,-87.14148333
1,4,8,22,12,3,10199,34.70627778,-86.58871389
1,4,12,16,33,7,10200,34.76349167,-86.941725
1,4,29,15,15,3,10201,33.76898056,-87.01074444
1,5,2,11,8,6,10202,33.57528056,-86.69112778
1,2,2,20,25,7,10203,34.93308889,-86.71719167
1,3,10,14,45,2,10204,33.18993056,-86.59960278
1,3,19,20,35,4,10205,32.98821944,-86.81815556
1,3,25,0,38,3,10206,33.28718611,-86.36376111
1,3,27,21,35,5,10207,32.870275,-86.10589444
1,3,31,5,30,2,10208,30.75178056,-88.225675
1,4,4,15,15,6,10209,34.13906944,-87.51116667
1,4,4,12,51,6,10210,31.56820556,-87.86380556
1,4,10,10,35,5,10211,32.20016389,-87.44739444
1,4,11,20,30,6,10212,31.02339722,-86.98278889
1,4,13,14,0,1,10213,30.91316111,-88.27810833
1,4,18,16,40,6,10214,34.30603611,-86.20036111
1,4,18,11,20,6,10215,32.483125,-86.41666667
1,4,20,18,10,1,10216,33.28984444,-87.86930278
1,4,20,20,0,1,10217,34.883775,-88.03041111
1,4,21,11,30,2,10218,33.92318611,-86.47202778
1,4,21,4,5,2,10219,34.87447222,-86.57121389
1,4,24,16,30,5,10220,33.86271944,-86.55525
1,4,24,16,30,5,10221,33.06018333,-86.004925
1,4,25,1,30,6,10222,33.43000833,-87.75298611
1,4,26,3,21,7,10223,34.27815556,-86.32539444
1,4,27,13,5,1,10224,30.98903333,-87.70018889
1,4,27,2,10,1,10225,30.52901667,-88.34020556
1,4,28,20,50,2,10226,34.30755833,-86.29454167
1,4,28,1,15,2,10227,33.59117222,-86.14448611
1,5,11,17,40,1,10228,30.75068889,-88.19302778
1,4,28,19,5,2,10229,34.84645,-87.80165
1,4,28,8,37,2,10230,32.40036944,-85.03361111
1,4,28,19,40,2,10231,33.24096667,-87.58586111
1,4,30,17,37,4,10232,31.18168056,-87.09514722
1,4,30,6,30,4,10233,32.46923056,-85.57546944
1,4,30,5,40,4,10234,33.37986111,-86.74778333
1,5,1,22,15,5,10235,33.19688889,-86.26131667
1,5,2,21,58,6,10236,31.340625,-86.993425
1,5,4,20,8,1,10237,32.93085833,-86.65731389
1,5,4,15,50,1,10238,33.82665278,-86.46033056
1,5,4,15,30,1,10239,32.52759444,-85.26627778
1,5,5,19,25,2,10240,30.82891944,-88.06898056
1,5,6,21,1,3,10241,33.92923333,-86.81213056
1,5,7,4,15,4,10242,30.38321389,-87.76789722
1,5,7,23,45,4,10243,34.08702222,-87.59633333
1,5,8,20,25,5,10244,33.63981111,-87.74296667
1,4,25,23,42,6,10245,34.36565,-87.712075
1,5,7,6,30,4,10246,33.46834167,-86.89171389
1,4,19,12,28,7,10247,34.22938333,-86.90973611
1,3,30,10,29,1,10248,30.70656389,-88.22545556
1,3,31,12,30,2,10249,30.43959167,-88.26366667
1,4,18,20,25,6,10250,33.65299722,-85.87557222
1,5,11,18,50,1,10251,31.63975556,-85.89626389
1,5,15,7,0,5,10252,33.58459444,-87.61188889
1,4,9,20,13,4,10253,32.36830833,-86.30878611
1,4,27,13,18,1,10254,32.48854167,-86.21018889
1,2,3,9,50,1,10255,33.83819722,-87.25494167
1,1,28,14,7,2,10256,32.54994167,-86.19331111
1,5,8,14,0,5,10257,33.24197222,-87.40954444
1,3,22,3,35,7,10258,33.13561111,-87.45108611
1,4,26,13,35,7,10259,33.80682222,-87.14080833
1,4,30,6,55,4,10260,30.44726667,-88.11618889
