STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10001,1,1,2014,4,1,15,35,-86
1,10002,1,1,2014,4,13,30,34,-88
1,10003,1,1,2014,4,3,7,33,-88
1,10004,2,1,2014,5,9,0,33,-86
1,10005,2,1,2014,5,16,30,34,-87
1,10006,3,1,2014,6,2,0,31,-87
1,10007,3,1,2014,6,18,40,31,-88
1,10008,4,1,2014,7,6,20,32,-87
1,10009,4,1,2014,7,15,39,34,-87
1,10010,6,1,2014,2,17,56,32,-86
1,10011,8,1,2014,4,8,48,35,-87
1,10012,8,1,2014,4,12,34,31,-88
1,10013,8,1,2014,4,15,47,31,-87
1,10014,9,1,2014,5,6,0,34,-87
1,10015,8,1,2014,4,21,31,34,-86
1,10016,10,1,2014,6,16,15,33,-87
1,10017,10,1,2014,6,17,15,34,-87
1,10018,10,1,2014,6,18,10,32,-85
1,10019,10,1,2014,6,21,40,31,-88
1,10020,11,1,2014,7,3,32,35,-87
1,10021,11,1,2014,7,20,23,33,-85
1,10022,2,1,2014,5,13,12,31,-86
1,10023,3,1,2014,6,13,30,35,-86
1,10024,7,1,2014,3,18,15,32,-88
1,10025,8,1,2014,4,17,43,34,-88
1,10026,9,1,2014,5,10,32,33,-85
1,10027,9,1,2014,5,18,30,33,-88
1,10028,10,1,2014,6,7,10,31,-86
1,10029,11,1,2014,7,2,15,34,-87
1,10030,13,1,2014,2,13,20,35,-86
1,10031,14,1,2014,3,10,9,31,-86
1,10032,15,1,2014,4,2,40,32,-86
1,10033,15,1,2014,4,22,50,33,-88
1,10034,17,1,2014,6,19,16,32,-85
1,10035,18,1,2014,7,14,10,33,-86
1,10036,18,1,2014,7,22,5,31,-88
1,10037,19,1,2014,1,11,12,34,-87
1,10038,20,1,2014,2,0,15,34,-86
1,10039,20,1,2014,2,16,55,32,-87
1,10040,25,1,2014,7,9,3,35,-87
1,10041,26,1,2014,1,19,55,34,-88
1,10042,28,1,2014,3,7,55,33,-86
1,10043,28,1,2014,3,11,35,33,-87
1,10044,29,1,2014,4,11,55,35,-87
1,10045,30,1,2014,5,7,15,34,-86
1,10046,30,1,2014,5,10,51,34,-87
1,10047,30,1,2014,5,5,0,33,-87
1,10048,30,1,2014,5,13,40,33,-87
1,10049,30,1,2014,5,17,20,32,-86
1,10050,30,1,2014,5,21,52,33,-86
1,10051,31,1,2014,6,7,10,35,-87
1,10052,9,1,2014,5,23,45,32,-85
1,10053,14,1,2014,3,6,59,35,-87
1,10054,23,1,2014,5,12,14,33,-87
1,10055,17,1,2014,6,14,3,30,-88
1,10056,17,1,2014,6,15,15,33,-88
1,10057,26,1,2014,1,4,45,32,-87
1,10058,27,1,2014,2,13,0,34,-87
1,10059,28,1,2014,3,11,5,33,-87
1,10060,31,1,2014,6,16,36,33,-88
1,10061,25,1,2014,7,18,25,31,-88
1,10062,1,2,2014,7,13,35,32,-86
1,10063,1,2,2014,7,0,1,31,-86
1,10064,1,2,2014,7,7,20,33,-86
1,10065,1,2,2014,7,23,45,32,-85
1,10066,3,2,2014,2,15,45,32,-87
1,10067,2,2,2014,1,20,23,34,-88
1,10068,3,2,2014,2,15,45,35,-86
1,10069,3,2,2014,2,10,53,35,-86
1,10070,4,2,2014,3,12,14,34,-86
1,10071,4,2,2014,3,13,20,31,-88
1,10072,4,2,2014,3,18,2,33,-87
1,10073,4,2,2014,3,8,45,33,-86
1,10074,5,2,2014,4,0,58,33,-88
1,10075,5,2,2014,4,22,0,35,-87
1,10076,5,2,2014,4,8,20,32,-86
1,10077,8,2,2014,7,4,55,33,-86
1,10078,8,2,2014,7,15,46,32,-85
1,10079,8,2,2014,7,18,50,31,-88
1,10080,9,2,2014,1,17,15,34,-87
1,10081,9,2,2014,1,23,0,33,-86
1,10082,13,2,2014,5,17,0,33,-87
1,10083,13,2,2014,5,18,0,34,-87
1,10084,13,2,2014,5,21,30,34,-87
1,10085,15,2,2014,7,7,15,33,-87
1,10086,17,2,2014,2,18,15,34,-87
1,10087,18,2,2014,3,11,30,34,-87
1,10088,19,2,2014,4,20,35,32,-86
1,10089,21,2,2014,6,3,19,31,-88
1,10090,1,2,2014,7,16,49,31,-88
1,10091,5,2,2014,4,7,29,33,-85
1,10092,11,2,2014,3,20,57,32,-85
