STATE,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,LATITUDE,LONGITUD
1,1,2,23,15,3,10001,33.45583889,-87.01792778
1,1,30,13,5,3,10002,34.16059722,-85.678075
1,1,14,12,13,1,10003,33.97571667,-86.49634722
1,1,1,15,0,2,10004,33.85325833,-85.91562222
1,1,6,19,35,7,10005,32.48883333,-86.40893611
1,1,1,4,55,2,10006,31.59715833,-86.2325
1,1,8,6,1,2,10007,34.29932778,-85.93116111
1,1,8,15,37,2,10008,32.31005278,-86.36991111
1,1,2,16,50,3,10009,34.50047222,-86.68860278
1,1,3,15,46,4,10010,33.33733889,-87.93400278
1,1,8,17,10,2,10011,33.81459444,-86.68545556
1,1,9,12,22,3,10012,33.32659444,-86.78161389
1,1,10,12,20,4,10013,31.98315278,-88.29020833
1,1,11,6,50,5,10014,34.78389444,-86.863825
1,1,11,17,40,5,10015,32.81878611,-86.56754444
1,1,12,15,0,6,10016,34.73648333,-87.52910833
1,1,13,10,30,7,10017,32.679525,-86.43178056
1,1,13,12,45,7,10018,31.91404722,-88.31075556
1,1,4,5,45,5,10019,31.179825,-87.46379167
1,1,13,15,30,7,10020,34.25876944,-88.12113611
1,1,4,6,5,5,10021,33.32931944,-87.04248333
1,1,14,23,24,1,10022,32.3814,-86.00908889
1,1,14,1,55,1,10023,34.67113889,-87.67687222
1,1,14,23,40,1,10024,31.50676111,-85.99406944
1,1,14,21,10,1,10025,32.70193611,-85.52602778
1,1,15,8,15,2,10026,31.20403889,-85.31606667
1,1,15,12,25,2,10027,33.62103611,-87.15224722
1,1,5,6,0,6,10028,32.87360833,-86.61381389
1,1,16,20,20,3,10029,32.36843889,-85.09338056
1,1,17,5,25,4,10030,30.92281111,-88.03183056
1,1,17,7,0,4,10031,34.49121944,-86.89580278
1,1,5,20,5,6,10032,34.30820556,-86.899325
1,1,6,14,0,7,10033,32.09697778,-85.51125278
1,1,6,22,38,7,10034,31.65275556,-86.42991389
1,1,26,23,45,6,10035,32.96633056,-87.81266389
1,1,26,19,17,6,10036,32.32516667,-85.15787222
1,1,26,11,30,6,10037,34.42174722,-86.71464167
1,1,6,2,30,7,10038,30.60121667,-88.15111111
1,1,27,10,25,7,10039,33.80198333,-87.56735278
1,1,28,23,10,1,10040,34.61757222,-85.98405556
1,1,31,13,0,4,10041,34.46761944,-86.98260833
1,1,18,23,30,5,10042,34.62704444,-87.34535556
1,1,19,22,43,6,10043,32.488625,-86.05859722
1,1,20,17,35,7,10044,32.60160833,-86.20722778
1,1,20,20,20,7,10045,30.71123611,-88.26531667
1,2,1,17,50,5,10046,34.61926944,-87.02136389
1,1,29,11,50,2,10047,33.25101111,-87.13395
1,1,21,7,45,1,10048,33.311825,-87.63714722
1,1,24,5,55,4,10049,33.62041667,-85.63264722
1,1,24,17,15,4,10050,34.53896667,-85.69706944
1,2,1,2,15,5,10051,33.96431111,-87.34113333
1,2,1,7,25,5,10052,33.71323333,-87.26518333
1,1,24,15,45,4,10053,30.45793611,-87.74238056
1,1,25,15,25,5,10054,33.12893611,-87.78817778
1,2,10,6,30,7,10055,33.89426667,-86.24556944
1,2,10,12,20,7,10056,33.74023333,-88.19575
1,2,11,18,9,1,10057,32.50759444,-86.37390556
1,2,15,11,8,5,10058,33.36406111,-87.66162222
1,2,16,18,0,6,10059,32.23645833,-86.12668611
1,2,16,8,20,6,10060,32.90977778,-87.87626111
1,1,4,5,45,5,10061,33.52272222,-87.06103889
1,1,11,7,51,5,10062,34.69097222,-86.35308889
1,1,31,0,20,4,10063,33.92055833,-86.93330833
1,2,4,21,10,1,10064,32.563725,-87.52825556
1,2,4,4,30,1,10065,31.81022778,-87.7531
1,2,5,12,0,2,10066,33.58149167,-85.84919444
1,2,3,22,40,7,10067,33.392875,-87.02479444
1,2,2,8,0,6,10068,31.01872222,-87.65397222
1,2,4,0,30,1,10069,30.82658611,-88.26329444
1,2,4,6,15,1,10070,31.13616944,-88.08338056
1,2,3,8,10,7,10071,34.25916944,-86.38343611
