STATE,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,LATITUDE,LONGITUD
1,1,2,18,15,6,10001,33.80514722,-87.13351111
1,1,1,20,0,5,10002,30.60386944,-87.86482222
1,1,1,15,59,5,10003,33.69306111,-85.67662778
1,1,3,8,40,7,10004,31.26560278,-85.62353611
1,1,3,0,5,7,10005,34.98948611,-87.22578056
1,1,6,14,50,3,10006,33.943325,-86.41708333
1,1,7,5,30,4,10007,33.8034,-88.11713333
1,1,7,19,50,4,10008,33.64149167,-85.88514722
1,1,8,17,48,5,10009,33.14240278,-87.44507778
1,1,9,21,30,6,10010,30.98290833,-88.238925
1,1,13,9,5,3,10011,31.17856944,-85.826675
1,1,15,14,45,5,10012,32.81670833,-86.67320278
1,1,15,19,58,5,10013,32.32344722,-86.23832778
1,1,17,15,0,7,10014,34.22773611,-86.51943611
1,1,21,22,45,4,10015,31.25852222,-87.621825
1,1,21,10,10,4,10016,31.90233611,-86.01161944
1,1,22,8,38,5,10017,32.27033333,-86.51298889
1,1,1,0,54,5,10018,34.60811667,-86.97925278
1,1,14,17,40,4,10019,30.45355833,-88.24098611
1,1,21,22,37,4,10020,34.53885556,-86.91489167
1,1,25,13,45,1,10021,31.74689167,-87.92620278
1,1,26,13,30,2,10022,34.31823889,-87.69606944
1,1,2,12,37,6,10023,33.37634167,-86.80499444
1,1,13,10,25,3,10024,33.61217222,-86.68755833
1,1,16,16,50,6,10025,33.65399167,-86.64053889
1,1,12,14,35,2,10026,33.288325,-87.19591111
1,1,9,20,3,6,10027,34.74193889,-86.55398889
1,1,19,9,34,2,10028,34.26292778,-85.85950278
1,1,4,15,0,1,10029,30.58891389,-88.20741944
1,1,17,1,15,7,10030,30.65806944,-87.81749722
1,1,22,5,59,5,10031,33.23907222,-87.576625
1,1,24,4,15,7,10032,30.67623333,-88.13023056
1,1,27,10,0,3,10033,30.68704167,-88.21108333
1,1,4,16,37,1,10034,30.64180278,-88.088025
1,1,5,18,57,2,10035,30.26722222,-87.59698611
1,1,19,19,7,2,10036,30.66060278,-88.10890833
1,2,4,5,38,4,10038,30.60831944,-88.07486389
1,1,29,6,5,5,10039,34.77898611,-86.67293333
1,1,29,11,24,5,10040,33.26536389,-87.60261111
1,1,30,1,21,6,10041,30.72925833,-88.16141667
1,2,1,13,30,1,10042,32.67088056,-85.88720833
1,1,31,19,0,7,10043,34.12580278,-85.66460556
1,2,1,21,10,1,10044,33.27780833,-86.94703611
1,2,2,6,30,2,10045,32.61892778,-85.95175278
1,2,3,12,52,3,10046,34.83116389,-87.165925
1,2,4,11,2,4,10047,33.07533333,-87.58515833
1,2,4,3,40,4,10048,33.63788333,-85.903
1,2,4,15,19,4,10049,33.45164167,-86.09004722
1,2,5,5,49,5,10050,31.11805833,-87.46945278
1,2,6,19,10,6,10051,32.85216389,-85.27100833
1,2,7,16,10,7,10052,34.18283889,-86.777175
1,2,7,14,40,7,10053,34.38286111,-86.45410833
1,2,8,12,5,1,10054,34.48874722,-87.94085278
1,2,10,0,25,3,10055,33.31623611,-86.81696389
1,2,11,10,45,4,10056,32.55277222,-86.29195833
1,2,12,22,5,5,10057,34.55653056,-87.33085833
1,2,14,5,0,7,10058,34.23263056,-86.27696389
1,2,16,13,38,2,10059,34.88357222,-86.71714722
1,2,19,19,30,5,10060,34.22681389,-86.54694444
1,2,22,2,50,1,10061,31.15258889,-85.10035556
1,2,23,3,45,2,10062,32.91910278,-86.64666944
1,2,25,19,30,4,10063,31.31379167,-86.40983056
1,2,25,0,2,4,10064,31.90630556,-86.01166111
1,2,20,15,28,6,10065,34.444425,-85.7764
1,1,6,17,16,3,10066,34.22655,-86.161375
1,1,23,14,0,6,10067,34.93648889,-85.75814444
1,1,31,2,49,7,10068,31.01256944,-87.49051389
1,3,4,17,11,4,10069,33.44112778,-86.94271389
1,1,26,14,51,2,10070,32.55313889,-85.52884167
1,1,9,20,27,6,10071,31.52156944,-87.33427222
1,1,10,20,21,7,10072,32.3147,-86.35017778
1,2,23,12,25,2,10073,33.09876944,-85.34415833
1,2,24,15,5,3,10074,33.28738333,-87.18295
1,2,19,16,15,5,10075,33.19946111,-87.47367222
1,2,10,1,47,3,10076,34.01498611,-86.00783611
1,2,12,5,50,5,10077,33.48422778,-86.91891111
1,2,15,2,27,1,10078,30.39057222,-87.68334444
1,2,16,0,4,2,10079,31.23836111,-85.50636667
1,2,17,16,4,3,10080,30.279675,-87.65158611
1,2,19,2,45,5,10081,33.42519167,-87.00341389
1,1,31,22,9,7,10082,34.4853,-87.82856944
1,2,8,18,13,1,10083,30.35573056,-87.66905278
1,2,11,12,15,4,10084,34.65889167,-86.49688611
1,2,11,21,30,4,10085,34.98060833,-86.40766389
1,2,13,0,10,6,10086,34.78915278,-86.53641111
1,2,14,17,0,7,10087,33.46909167,-85.6012
1,2,15,17,45,1,10088,33.09312222,-86.21319167
1,2,16,18,24,2,10089,34.066725,-86.76246111
1,2,18,15,54,4,10090,33.54150278,-86.43974167
1,2,21,0,5,7,10091,33.94439167,-86.16723056
1,2,19,17,44,5,10092,33.09404722,-86.78149444
1,2,19,20,45,5,10093,34.61267778,-86.56708333
1,2,24,0,1,3,10094,33.790375,-87.23969167
1,2,24,8,10,3,10095,33.26693056,-87.71836389
1,2,25,22,15,4,10096,33.82796667,-86.45888333
1,2,27,7,0,6,10097,32.45886389,-85.17979167
1,2,27,15,10,6,10098,34.806875,-86.77404444
1,2,28,10,55,7,10099,34.96142778,-86.56801944
1,2,28,18,28,7,10100,34.62133889,-86.09677222
1,3,7,3,25,7,10101,33.51563611,-86.86971111
1,3,1,2,10,1,10102,30.52363611,-87.81007778
1,3,5,11,45,5,10103,32.54706667,-87.56320278
1,3,5,21,0,5,10104,30.47090556,-88.30690278
1,3,5,7,10,5,10105,30.50814722,-88.37646944
1,3,6,17,0,6,10106,33.85840556,-87.17350833
1,3,7,0,37,7,10107,34.501675,-86.30146944
1,3,7,18,5,7,10108,33.34508611,-87.32800556
1,3,15,14,54,1,10109,31.18291944,-85.33128333
1,3,7,23,6,7,10110,33.33220556,-86.92572778
1,3,8,11,5,1,10111,34.31848611,-85.84708333
1,3,8,11,4,1,10112,30.40685,-87.62736111
1,3,8,18,53,1,10113,31.36803889,-87.17788611
1,3,8,3,30,1,10114,31.13587778,-85.17618611
1,3,8,18,50,1,10115,32.45053333,-86.89801389
1,3,9,0,30,2,10116,30.53472778,-88.24456944
1,3,9,19,0,2,10117,30.41862778,-87.84702222
1,3,9,18,40,2,10118,31.06881389,-85.56774722
1,3,9,3,40,2,10119,30.47753056,-88.16921944
1,3,11,13,45,4,10120,31.77217778,-85.89403056
1,3,11,18,15,4,10121,32.07391944,-85.49607778
1,3,12,11,10,5,10122,32.502125,-86.18742222
1,3,13,23,5,6,10123,33.40360833,-86.19366667
1,3,13,19,49,6,10124,32.81761111,-85.217
1,3,13,23,30,6,10125,30.93572778,-87.68351667
1,3,14,23,34,7,10126,32.70476111,-85.31059722
1,3,15,8,7,1,10127,33.64856389,-85.65113056
1,3,15,17,40,1,10128,32.02510556,-86.36816111
1,3,15,20,15,1,10129,32.30124444,-87.2499
1,3,15,5,0,1,10130,32.81703333,-86.96644444
1,3,15,11,30,1,10131,31.08542778,-85.405525
1,3,17,20,5,3,10132,34.85226944,-86.51699167
1,3,18,9,25,4,10133,32.43565,-87.08348333
