STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10122,9,3,2012,6,22,0,31,-86
1,10123,13,3,2012,3,19,3,33,-88
1,10124,14,3,2012,4,0,3,32,-86
1,10125,22,3,2012,5,20,39,34,-87
1,10126,24,3,2012,7,9,3,33,-86
1,10127,19,2,2012,1,11,37,33,-87
1,10128,1,3,2012,5,0,1,33,-87
1,10129,2,3,2012,6,20,0,31,-87
1,10130,2,3,2012,6,13,45,33,-85
1,10131,2,3,2012,6,1,33,35,-87
1,10132,2,3,2012,6,0,30,31,-87
1,10133,4,3,2012,1,16,50,31,-87
1,10134,4,3,2012,1,2,25,34,-87
1,10135,5,3,2012,2,21,20,31,-86
1,10136,6,3,2012,3,2,15,32,-88
1,10137,6,3,2012,3,5,45,35,-86
1,10138,7,3,2012,4,10,10,30,-88
1,10139,7,3,2012,4,17,0,35,-87
1,10140,8,3,2012,5,17,5,35,-86
1,10141,9,3,2012,6,5,25,34,-87
1,10142,10,3,2012,7,11,30,35,-88
1,10143,10,3,2012,7,18,10,34,-86
1,10144,1,3,2012,5,19,16,34,-86
1,10145,10,3,2012,7,18,3,34,-86
1,10146,10,3,2012,7,8,15,33,-87
1,10147,11,3,2012,1,19,20,33,-87
1,10148,11,3,2012,1,17,5,34,-86
1,10149,13,3,2012,3,15,0,35,-88
1,10150,13,3,2012,3,20,11,32,-86
1,10151,13,3,2012,3,7,15,31,-88
1,10152,15,3,2012,5,18,17,32,-86
1,10153,15,3,2012,5,5,48,31,-88
1,10154,16,3,2012,6,10,8,31,-88
1,10155,16,3,2012,6,15,30,30,-88
1,10156,17,3,2012,7,2,10,33,-87
1,10157,17,3,2012,7,21,10,31,-88
1,10158,18,3,2012,1,17,50,34,-86
1,10159,21,2,2012,3,18,0,30,-88
1,10160,22,2,2012,4,12,50,30,-88
1,10161,18,3,2012,1,0,10,34,-86
1,10162,19,3,2012,2,19,45,34,-87
1,10163,21,3,2012,4,19,5,35,-87
1,10164,21,3,2012,4,23,27,31,-88
1,10165,10,3,2012,7,10,40,32,-87
1,10166,28,3,2012,4,14,33,34,-86
1,10167,15,3,2012,5,15,59,32,-86
1,10168,18,3,2012,1,10,38,33,-87
1,10169,22,3,2012,5,23,30,33,-87
1,10170,23,3,2012,6,17,0,33,-87
1,10171,23,3,2012,6,10,46,33,-87
1,10172,24,3,2012,7,16,0,33,-87
1,10173,24,3,2012,7,15,5,34,-87
1,10174,25,3,2012,1,5,20,33,-85
1,10175,25,3,2012,1,17,25,32,-86
1,10176,27,3,2012,3,19,53,33,-88
1,10177,28,3,2012,4,9,30,30,-88
1,10178,29,3,2012,5,19,55,33,-87
1,10179,29,3,2012,5,21,5,34,-87
1,10180,31,3,2012,7,16,23,33,-88
1,10181,31,3,2012,7,18,37,33,-87
1,10182,31,3,2012,7,20,45,34,-88
1,10183,31,3,2012,7,7,25,34,-87
1,10184,31,3,2012,7,2,15,31,-86
1,10185,1,4,2012,1,0,40,33,-87
1,10186,3,4,2012,3,8,10,31,-86
1,10187,10,4,2012,3,2,17,31,-86
1,10188,14,4,2012,7,5,7,34,-86
1,10189,3,4,2012,3,12,45,34,-87
1,10190,1,4,2012,1,17,30,33,-87
1,10191,2,4,2012,2,17,0,32,-86
1,10192,2,4,2012,2,14,16,34,-87
1,10193,4,4,2012,4,16,3,31,-86
1,10194,5,4,2012,5,15,55,34,-87
1,10195,5,4,2012,5,11,20,32,-87
1,10196,6,4,2012,6,23,12,32,-86
1,10197,7,4,2012,7,19,25,34,-86
1,10198,7,4,2012,7,12,10,33,-87
1,10199,10,4,2012,3,4,45,33,-87
1,10200,12,4,2012,5,15,50,34,-86
1,10201,13,4,2012,6,12,30,33,-86
1,10202,23,3,2012,6,23,29,33,-86
1,10203,15,4,2012,1,1,20,31,-88
1,10204,14,4,2012,7,23,0,31,-88
1,10205,26,1,2012,5,15,0,35,-87
1,10206,2,3,2012,6,21,49,33,-87
1,10207,29,3,2012,5,13,50,32,-86
1,10208,6,3,2012,3,16,10,35,-87
1,10209,9,4,2012,2,16,17,33,-87
1,10210,9,4,2012,2,14,45,35,-87
1,10211,12,4,2012,5,13,7,31,-87
1,10212,13,4,2012,6,23,45,35,-87
1,10213,13,4,2012,6,18,15,32,-85
1,10214,14,4,2012,7,10,44,31,-88
1,10215,14,4,2012,7,18,25,33,-87
1,10216,15,4,2012,1,13,55,31,-88
1,10217,17,4,2012,3,17,38,34,-87
1,10218,17,4,2012,3,6,37,33,-88
1,10219,17,4,2012,3,8,15,35,-88
1,10220,18,4,2012,4,8,55,33,-87
1,10221,18,4,2012,4,21,25,34,-85
1,10222,19,4,2012,5,21,25,35,-88
