STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,ST_CASE,CITY
1,73,1,13,16,55,10161,0
1,89,1,17,1,42,10162,1730
1,15,1,15,10,59,10163,2460
1,89,1,22,18,50,10164,1730
1,103,2,24,10,49,10165,890
1,77,3,2,19,28,10166,2670
1,103,3,20,2,4,10167,890
1,101,4,4,14,55,10168,0
1,117,4,2,16,25,10169,770
1,97,4,2,20,40,10170,0
1,29,4,3,18,20,10171,0
1,3,4,3,1,40,10172,0
1,85,4,4,14,50,10173,0
1,11,4,3,12,15,10174,0
1,59,4,3,22,22,10175,0
1,115,4,1,13,0,10176,0
1,47,4,1,14,31,10177,0
1,99,4,2,14,50,10178,0
1,61,4,12,13,30,10179,0
1,87,4,3,13,40,10180,0
1,17,4,7,20,52,10181,0
1,97,4,3,22,15,10182,0
1,3,4,3,15,50,10183,0
1,53,4,3,19,40,10184,0
1,79,4,6,16,5,10185,0
1,97,4,8,21,20,10186,2100
1,33,4,11,10,35,10187,0
1,81,4,6,19,52,10188,0
1,87,4,6,5,50,10189,0
1,23,4,6,14,30,10190,0
1,55,4,1,10,11,10191,190
1,67,4,12,17,30,10192,0
1,63,4,4,17,35,10193,0
1,117,4,9,19,5,10194,0
1,15,4,11,12,15,10195,0
1,41,4,8,1,0,10196,0
1,59,4,15,1,45,10197,0
1,73,4,5,20,55,10198,0
1,73,4,7,7,0,10199,1850
1,73,4,7,3,7,10200,330
1,119,4,15,10,35,10201,0
1,133,4,8,20,28,10202,0
1,97,4,9,23,0,10203,0
1,37,4,19,23,0,10204,0
1,61,4,16,23,46,10205,1340
1,51,4,11,11,45,10206,3270
1,97,4,6,0,1,10207,0
1,15,4,24,13,5,10208,0
1,29,4,19,22,0,10209,0
1,15,4,22,21,45,10210,0
1,19,4,22,13,30,10211,0
1,19,4,24,7,25,10212,0
1,117,4,25,20,5,10213,0
1,127,4,27,15,45,10214,0
1,15,4,26,13,30,10215,0
1,33,4,29,12,58,10216,0
1,45,4,24,22,20,10217,0
1,3,4,5,7,30,10218,0
1,125,4,6,15,55,10219,0
1,13,4,18,16,10,10220,0
1,35,4,21,13,40,10221,0
1,11,4,24,23,40,10222,0
1,41,4,25,8,50,10223,0
1,69,4,25,1,30,10224,0
1,5,4,26,6,6,10225,0
1,97,4,17,12,10,10226,0
1,89,4,11,13,40,10227,0
1,121,4,21,17,25,10228,1870
1,95,4,30,22,0,10229,0
1,65,4,21,16,30,10230,0
1,63,4,25,4,20,10231,0
1,83,4,30,14,0,10232,0
1,97,4,30,23,32,10233,0
1,3,4,30,1,0,10234,0
1,69,4,23,12,7,10235,930
1,125,4,25,1,50,10236,3050
1,73,4,13,7,57,10237,0
1,77,4,30,19,10,10238,1200
1,43,4,23,15,6,10239,830
1,55,4,20,17,14,10240,1280
1,101,4,30,17,50,10241,2130
1,97,4,6,14,50,10242,0
1,3,4,10,22,25,10243,0
1,51,4,29,13,19,10244,3270
1,73,4,22,6,8,10245,1440
1,17,5,2,19,42,10246,0
1,1,5,1,4,30,10247,0
1,85,5,2,7,0,10248,0
1,37,5,6,5,25,10249,0
1,125,5,3,19,20,10250,0
1,73,5,6,5,27,10251,330
1,25,5,1,17,10,10252,0
1,49,5,2,13,40,10253,0
1,61,5,2,2,30,10254,0
1,109,5,2,13,5,10255,0
1,133,5,2,16,0,10256,0
1,77,5,4,10,15,10257,1806
1,61,5,10,15,50,10258,0
1,73,5,2,3,35,10259,350
1,95,5,8,17,45,10260,0
1,97,5,2,5,30,10261,0
1,97,5,8,19,58,10262,0
1,23,5,10,13,40,10263,0
1,73,5,13,14,21,10264,0
1,115,5,2,0,40,10265,0
1,101,5,15,1,35,10266,0
1,103,5,3,19,25,10267,0
1,43,5,8,12,35,10268,0
1,7,5,11,16,5,10269,0
1,45,5,15,17,40,10270,0
1,73,5,19,12,26,10271,0
1,97,5,16,2,50,10272,0
1,97,5,7,23,42,10273,0
1,91,5,8,13,20,10274,0
1,53,5,9,15,30,10275,0
1,73,5,13,2,30,10276,330
1,25,5,15,15,55,10277,0
1,35,5,15,0,50,10278,0
1,39,5,15,1,30,10279,0
1,25,5,17,20,35,10280,0
1,47,5,8,19,10,10281,0
1,47,5,12,18,55,10282,0
1,47,5,13,20,45,10283,0
1,15,5,16,1,10,10284,0
1,71,5,16,7,35,10285,0
1,121,5,26,7,10,10286,0
1,9,5,18,22,10,10287,0
1,59,5,22,22,5,10288,0
1,59,5,22,15,50,10289,0
1,117,5,22,21,5,10290,530
1,59,5,24,23,14,10291,0
1,111,5,29,4,20,10292,0
1,125,5,17,8,43,10293,3050
1,23,5,17,12,30,10294,0
1,3,5,19,2,0,10295,0
1,105,5,23,5,50,10296,0
1,95,5,23,15,40,10297,0
1,97,5,25,21,30,10298,0
1,89,5,27,15,5,10299,0
1,77,5,2,3,2,10300,1200
1,79,5,24,7,10,10301,0
1,55,5,26,22,5,10302,0
1,9,5,27,15,12,10303,0
1,103,5,3,18,7,10304,890
1,123,5,22,19,30,10305,0
1,57,5,29,20,0,10306,0
1,43,5,29,20,40,10307,0
1,85,5,29,23,20,10308,0
1,21,5,30,7,45,10309,0
1,5,5,22,15,45,10310,0
1,131,5,30,16,25,10311,0
1,97,5,9,22,31,10312,2100
1,103,5,6,15,5,10313,2545
1,33,5,5,14,43,10314,3060
1,97,5,20,20,32,10315,2100
1,33,5,30,20,15,10316,0
1,97,5,11,22,0,10317,0
1,115,5,27,16,50,10318,0
1,3,5,31,1,35,10319,0
1,17,5,21,22,8,10320,3111
1,73,5,29,21,40,10321,0
1,73,5,18,13,9,10322,330
1,89,5,23,2,55,10323,1730
1,49,5,31,22,0,10324,1274
1,43,5,30,16,30,10325,0
1,51,5,31,17,25,10326,0
1,25,5,1,23,47,10327,1760
1,17,5,25,9,45,10328,1830
1,63,5,20,7,15,10329,0
1,39,5,18,19,44,10330,90
1,89,5,6,14,43,10331,1730
