STATE,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,LATITUDE,LONGITUD
1,1,8,16,55,7,10001,30.50191389,-88.15761389
1,1,9,19,30,1,10002,33.99217778,-86.97063889
1,1,9,11,38,1,10003,33.60045833,-86.32263889
1,1,1,13,52,7,10004,34.63493056,-86.43383611
1,1,10,5,30,2,10005,,
1,1,1,0,15,7,10006,31.46446389,-87.38401667
1,1,1,3,15,7,10007,33.09426667,-86.5356
1,1,11,18,45,3,10008,33.39353056,-86.66547222
1,1,1,0,28,7,10009,31.45836389,-86.42501111
1,1,1,22,30,7,10010,33.87423889,-87.46010278
1,1,2,18,40,1,10011,31.75100278,-85.95453056
1,1,1,7,20,7,10012,33.60366111,-86.04551667
1,1,1,12,15,7,10013,34.17189722,-87.42448889
1,1,1,17,10,7,10014,34.09721389,-85.50035833
1,1,11,21,12,3,10015,31.37877778,-85.39656389
1,1,11,15,50,3,10016,34.10426111,-85.46968333
1,1,12,6,10,4,10017,30.60334444,-87.75074722
1,1,4,12,15,3,10018,34.58348611,-85.83915278
1,1,4,11,15,3,10019,32.52013611,-86.43817778
1,1,2,20,50,1,10020,33.98498056,-86.06944167
1,1,12,13,12,4,10021,30.60015,-88.10321389
1,1,4,22,15,3,10022,30.70555833,-88.215
1,1,7,22,0,6,10023,33.87115833,-88.06781111
1,1,7,18,23,6,10024,34.66243889,-86.78698889
1,1,7,17,53,6,10025,33.29808889,-86.352825
1,1,7,18,20,6,10026,33.63365833,-85.54073056
1,1,14,15,19,6,10027,30.42849444,-88.24572222
1,1,28,15,15,6,10028,32.55949722,-87.52901944
1,1,28,18,55,6,10029,34.28603889,-86.12703056
1,1,29,0,40,7,10030,33.26346944,-86.38000833
1,1,29,22,51,7,10031,34.74696389,-86.98369167
1,1,30,16,44,1,10032,34.73438333,-86.60680278
1,2,1,17,25,3,10033,32.963125,-86.82651667
1,2,2,23,20,4,10034,34.19101944,-87.66994444
1,2,3,21,35,5,10035,34.32254167,-85.99928611
1,1,15,21,0,7,10036,31.84861111,-86.67164722
1,1,16,19,0,1,10037,33.92095833,-86.60746667
1,1,17,17,45,2,10038,30.55876667,-88.20394444
1,2,2,8,35,4,10039,33.763575,-87.79005
1,2,5,23,20,7,10040,30.96855278,-88.06005833
1,1,18,18,30,3,10041,,
1,2,5,18,55,7,10042,30.47300556,-87.54951944
1,2,6,0,10,1,10043,30.82680833,-88.07712222
1,2,6,5,30,1,10044,33.86906111,-87.43194167
1,1,18,7,42,3,10045,,
1,2,8,16,57,3,10046,30.92201944,-87.70198611
1,1,19,11,58,4,10047,34.64170833,-86.75922778
1,1,19,6,15,4,10048,30.78716111,-88.30179722
1,2,12,20,25,7,10049,30.68734167,-88.21283889
1,2,25,19,45,6,10050,30.50651944,-88.24263611
1,1,29,11,14,7,10051,33.40690833,-86.85875833
1,2,10,7,10,5,10052,32.07816944,-85.51721389
1,2,9,11,32,4,10053,32.26305556,-86.16103889
1,2,9,21,45,4,10054,33.34928611,-86.62530278
1,1,1,4,25,7,10055,,
1,2,6,15,45,1,10056,32.14059722,-88.08012778
1,2,10,18,45,5,10057,30.40664444,-87.73703611
1,1,20,22,50,5,10058,34.56310278,-86.44421389
1,1,3,5,50,2,10059,33.73258333,-87.01669167
1,1,21,21,2,6,10060,33.87215556,-86.65614444
1,1,22,6,20,7,10061,32.58536111,-87.83649722
1,1,22,11,54,7,10062,33.22829722,-87.51158333
1,1,22,2,45,7,10063,33.74275278,-85.68830556
1,1,22,1,45,7,10064,31.35181667,-85.16849722
1,1,22,9,18,7,10065,34.46126944,-86.997025
1,1,23,4,5,1,10066,34.85152222,-86.13594167
1,1,4,17,45,3,10067,30.67772778,-88.19073611
1,1,24,8,16,2,10068,32.54988611,-86.45779444
1,1,17,1,24,2,10069,30.69658056,-88.05448056
1,1,5,15,37,4,10070,32.65496111,-85.45084167
1,1,24,8,35,2,10071,33.78775556,-87.00955
1,1,9,23,25,1,10072,32.76193333,-86.11497778
1,1,11,23,6,3,10073,30.72245,-88.10008889
1,1,24,13,58,2,10074,33.55112778,-86.88304167
1,1,18,12,45,3,10075,31.65401111,-86.69418333
1,1,19,13,0,4,10076,33.73685556,-87.0217
1,1,21,12,47,6,10077,32.36486667,-86.36661389
1,1,24,8,13,2,10078,33.53674167,-86.96319167
1,1,12,19,25,4,10079,34.61991389,-86.56729444
1,1,22,7,35,7,10081,31.12097778,-87.24678333
1,1,22,3,44,7,10082,33.47161944,-86.78974722
1,1,24,21,38,2,10083,,
1,1,24,16,2,2,10084,33.41665833,-86.667125
1,2,2,5,45,4,10085,34.61917778,-86.99987222
1,2,5,20,40,7,10086,34.19145833,-86.78669722
1,2,5,3,43,7,10087,30.67373611,-88.148575
1,2,6,9,15,1,10088,33.73186389,-85.37314167
1,2,8,19,15,3,10089,33.20095,-87.58588056
1,2,7,1,24,2,10090,30.69237222,-88.14983056
1,2,9,5,45,4,10091,31.97033333,-87.66282222
1,2,9,19,34,4,10092,32.32785278,-86.33875556
1,2,11,23,50,6,10093,32.42338056,-87.09317222
1,1,25,15,15,3,10094,34.88926389,-87.67171944
1,2,11,20,15,6,10095,33.50474722,-87.98429167
1,2,11,6,55,6,10096,33.54611389,-87.10755556
1,2,12,19,15,7,10097,33.85283889,-86.81646667
1,2,13,0,44,1,10098,31.337775,-85.83983611
1,2,28,9,30,2,10099,32.18854722,-85.83860833
1,2,27,14,0,1,10100,32.70018889,-87.28991667
1,1,25,6,50,3,10101,32.11668611,-87.30626389
1,2,14,9,18,2,10102,33.97161389,-85.97156944
1,2,14,20,5,2,10103,34.60433611,-87.01300278
1,2,18,7,45,6,10104,32.96092778,-86.31836111
1,2,16,10,5,4,10105,34.19438611,-86.93384722
1,2,23,2,15,4,10106,34.70693611,-86.67218611
1,2,23,18,35,4,10107,33.45135556,-86.99653333
1,2,24,6,40,5,10108,34.15375833,-87.97981111
1,2,25,21,55,6,10109,31.24950278,-86.261425
1,2,25,19,0,6,10110,30.59319167,-88.15596667
1,2,8,18,25,3,10111,30.70524444,-88.12296667
1,2,22,19,0,3,10112,34.60015833,-87.034875
1,2,21,23,0,2,10113,34.70429167,-86.95611389
1,2,20,21,17,1,10114,30.69546111,-88.06268056
1,2,20,16,45,1,10115,34.01844167,-86.79642222
1,2,19,0,1,7,10116,32.55463333,-85.34243056
1,3,2,11,10,4,10117,33.748025,-86.42590556
1,3,2,8,39,4,10118,31.26298333,-86.27008611
1,3,3,13,55,5,10119,33.51221111,-86.89768611
1,3,3,21,42,5,10120,34.90828333,-87.35478611
1,3,3,19,45,5,10121,31.37046111,-85.80378333
1,3,4,15,6,6,10122,31.96102778,-87.41953611
1,3,5,23,15,7,10123,34.4273,-87.08236389
1,3,4,8,40,6,10124,30.69961667,-88.04673889
1,3,5,20,30,7,10125,33.15794167,-87.78640556
1,3,5,13,22,7,10126,34.12514444,-87.98965278
1,3,6,19,50,1,10127,32.51782778,-85.04492778
1,3,6,17,30,1,10128,33.94001944,-86.02281667
1,3,7,21,7,2,10129,33.02388056,-86.76456111
1,3,4,12,15,6,10130,30.56909722,-87.85223056
1,3,5,20,18,7,10131,33.23034167,-85.77352778
1,3,5,17,30,7,10132,30.86235556,-88.4169
1,3,6,3,0,1,10133,32.46728611,-87.59530556
1,3,7,19,16,2,10134,31.76136111,-85.89364167
1,3,7,17,10,2,10135,34.24334444,-86.11334167
1,2,26,14,48,7,10136,31.42983611,-87.10903333
1,3,7,10,45,2,10137,33.80699444,-86.12433056
1,3,7,20,20,2,10138,33.23687778,-87.56195
1,3,7,13,5,2,10139,32.91312222,-86.71323889
1,2,26,4,0,7,10140,,
1,3,8,20,51,3,10141,30.66494444,-88.152575
1,3,17,6,45,5,10142,,
1,3,8,16,37,3,10143,33.21503611,-86.80946944
1,3,9,17,23,4,10144,33.32381111,-86.90485833
1,3,9,18,45,4,10145,31.1892,-85.28873889
1,3,10,8,0,5,10146,33.00814167,-86.31105
1,3,11,14,30,6,10147,32.48953611,-87.49981111
1,3,16,21,17,4,10148,31.37423056,-85.586125
1,3,13,5,35,1,10149,34.09248056,-86.95283889
1,3,12,3,20,7,10150,34.05288611,-87.54992778
1,3,25,8,0,6,10151,33.93521111,-85.46160556
1,3,25,17,30,6,10152,34.16386944,-86.60281111
1,3,12,4,40,7,10153,32.43083889,-85.09351111
1,3,26,16,25,7,10154,31.76559444,-87.64140833
1,3,26,10,0,7,10155,32.57443611,-86.31836389
1,3,26,4,55,7,10156,30.27934167,-87.66554444
1,3,17,23,14,5,10157,,
1,3,26,2,33,7,10158,31.42556944,-87.15728889
1,3,27,22,15,1,10159,30.52540278,-88.20225556
1,3,17,13,10,5,10160,33.35069722,-86.61320556
1,3,26,18,17,7,10161,32.24505556,-85.53306667
1,3,28,20,50,2,10162,34.554475,-86.553625
1,3,28,18,10,2,10163,34.068525,-86.310475
1,3,29,3,30,3,10164,33.37388611,-85.44543333
1,3,29,19,20,3,10165,32.43076667,-86.50800833
1,3,29,21,25,3,10166,32.57408611,-86.55240833
1,3,29,22,15,3,10167,34.93874722,-87.86197222
1,3,30,6,50,4,10168,32.61973611,-87.09848611
1,3,30,15,5,4,10169,33.625325,-85.91975833
1,3,30,23,28,4,10170,30.69330556,-88.03006111
1,3,21,17,55,2,10171,34.8955,-86.50939167
1,3,3,5,50,5,10172,34.06246389,-86.86623333
1,3,3,2,28,5,10173,33.56156667,-86.82753056
1,3,5,20,55,7,10174,34.82923889,-86.93866389
1,3,5,21,40,7,10175,33.78175556,-86.409325
1,3,6,0,5,1,10176,32.82396111,-87.98623889
1,3,6,17,35,1,10177,31.04212778,-87.6121
1,3,8,15,0,3,10178,32.99519722,-86.69905
1,3,18,16,27,6,10179,34.75010278,-87.63521667
1,3,19,19,15,7,10180,33.25252778,-87.12610278
1,3,20,4,29,1,10181,33.57861944,-86.71133333
1,3,19,16,30,7,10182,33.19519722,-86.545775
1,3,29,9,5,3,10183,34.29430556,-86.91131944
1,3,18,19,5,6,10184,33.200875,-87.58290833
1,3,19,4,20,7,10185,34.80505278,-86.78100833
1,3,26,22,42,7,10186,31.36095833,-87.06481944
1,3,28,23,10,2,10187,33.7717,-86.82855556
1,3,31,1,0,5,10188,34.0634,-86.86623056
1,3,19,1,24,7,10189,30.249125,-87.76676111
1,3,20,7,10,1,10190,32.312775,-86.86353611
1,3,20,16,50,1,10191,,
1,3,22,21,10,3,10192,32.65845556,-86.49252778
1,3,22,15,45,3,10193,34.28765833,-87.05985278
1,3,23,22,40,4,10194,32.83686667,-85.43861111
1,3,24,11,52,5,10195,33.57283056,-86.16865278
1,3,24,13,0,5,10196,,
1,3,24,10,32,5,10197,30.67598333,-88.14858611
1,1,1,10,44,7,10198,33.75326111,-86.48743889
1,1,6,13,21,5,10199,32.38749444,-86.29839722
1,2,17,2,11,5,10200,32.36838889,-86.30008889
1,1,21,11,30,6,10201,34.35699167,-86.32721944
1,2,21,8,10,2,10202,31.15836111,-87.37781389
1,1,21,5,30,6,10203,33.53275556,-86.82433333
1,2,23,16,45,4,10204,33.04755278,-87.91915
1,1,27,14,15,5,10205,34.77291944,-87.44266667
1,1,23,15,55,1,10206,34.12773611,-85.67498056
1,1,29,7,32,7,10207,31.25434167,-86.51919167
1,2,1,16,47,3,10208,31.66632222,-86.64824444
1,2,3,5,55,5,10209,,
1,2,22,12,55,3,10210,33.35278333,-87.961425
1,2,22,6,30,3,10211,32.60434167,-85.60155278
1,2,23,16,55,4,10212,34.41233889,-87.67516111
1,4,1,7,18,6,10213,34.29618333,-86.54108056
1,4,1,14,15,6,10214,34.6361,-87.64871944
1,4,3,14,5,1,10215,31.97825278,-86.29293333
1,4,3,6,0,1,10216,32.881275,-85.34433889
1,4,3,2,30,1,10217,31.78518333,-88.109325
1,4,3,17,5,1,10218,30.64148056,-88.10371667
1,4,3,17,45,1,10219,30.83550556,-88.20606389
1,4,3,7,20,1,10220,30.68545278,-88.13623889
1,4,3,23,50,1,10221,33.185,-87.59631944
1,4,4,20,35,2,10222,33.61156667,-85.78266111
1,2,7,12,40,2,10223,32.36195556,-86.19893333
1,4,3,21,0,1,10224,34.79732222,-86.67230833
