STATE,ST_CASE,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10124,0,23,3,2013,7,0,35,33,-87
1,10125,2130,26,2,2013,3,3,20,32,-86
1,10126,0,6,3,2013,4,14,48,34,-88
1,10127,2130,9,3,2013,7,22,16,32,-86
1,10128,2355,10,3,2013,1,14,21,30,-88
1,10129,0,10,3,2013,1,16,15,32,-88
1,10130,0,11,3,2013,2,14,27,30,-88
1,10131,0,11,3,2013,2,19,37,32,-86
1,10132,0,12,3,2013,3,15,35,34,-88
1,10133,0,13,3,2013,4,9,55,33,-86
1,10134,0,13,3,2013,4,9,35,33,-85
1,10135,2100,14,3,2013,5,6,10,31,-88
1,10136,0,15,3,2013,6,11,40,33,-87
1,10137,0,16,3,2013,7,20,48,32,-86
1,10138,2063,17,3,2013,1,20,38,32,-86
1,10139,0,18,3,2013,2,7,50,34,-87
1,10140,0,18,3,2013,2,8,15,34,-87
1,10141,0,21,3,2013,5,17,25,34,-85
1,10142,0,22,3,2013,6,6,45,32,-88
1,10143,2660,22,3,2013,6,21,23,33,-86
1,10144,1670,21,3,2013,5,15,38,34,-86
1,10145,350,12,2,2013,3,18,12,34,-87
1,10146,0,21,2,2013,5,5,10,34,-87
1,10147,1280,4,3,2013,2,10,52,34,-86
1,10148,520,12,3,2013,3,7,47,32,-88
1,10149,900,14,3,2013,5,3,16,32,-88
1,10150,807,19,3,2013,3,7,5,31,-88
1,10151,2170,23,2,2013,7,5,37,33,-87
1,10152,680,5,3,2013,3,13,57,33,-86
1,10153,845,22,3,2013,6,22,19,31,-86
1,10154,2100,23,3,2013,7,1,0,31,-88
1,10155,1716,8,3,2013,6,15,49,33,-87
1,10156,0,9,3,2013,7,1,40,35,-88
1,10157,0,11,3,2013,2,23,20,32,-86
1,10158,0,11,3,2013,2,15,18,33,-86
1,10159,0,17,3,2013,1,12,15,31,-88
1,10160,0,23,3,2013,7,4,45,34,-87
1,10161,0,24,3,2013,1,19,55,33,-88
1,10162,9997,26,3,2013,3,2,10,35,-87
