STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10001,1,1,2015,5,2,40,33.87865278,-87.32532778
1,10002,1,1,2015,5,22,13,34.91044167,-86.90870833
1,10003,1,1,2015,5,1,25,32.14200556,-85.75845556
1,10004,4,1,2015,1,0,57,31.43981389,-85.5103
1,10005,7,1,2015,4,7,9,31.31933056,-85.5151
1,10006,8,1,2015,5,9,59,33.43849444,-85.38926667
1,10007,8,1,2015,5,18,33,34.77304444,-86.52766389
1,10008,3,1,2015,7,21,30,33.46248889,-86.87090556
1,10009,13,1,2015,3,8,0,33.2361,-86.81392222
1,10010,5,1,2015,2,18,45,34.75836667,-87.60750833
1,10011,7,1,2015,4,20,55,34.76602778,-86.87921111
1,10012,9,1,2015,6,6,35,34.36911667,-86.28887778
1,10013,10,1,2015,7,10,55,32.55177222,-85.74464444
1,10014,11,1,2015,1,6,13,32.16270833,-85.71402778
1,10015,11,1,2015,1,8,30,33.96415,-87.60569722
1,10016,13,1,2015,3,17,20,32.61823889,-85.37138333
1,10017,14,1,2015,4,14,40,30.50592778,-88.233925
1,10018,16,1,2015,6,19,15,32.52434444,-86.67211944
1,10019,19,1,2015,2,1,0,33.22930833,-86.26927778
1,10020,15,1,2015,5,17,10,33.46581111,-86.04999167
1,10021,23,1,2015,6,13,48,33.56601667,-86.52102222
1,10022,26,1,2015,2,6,15,33.84021944,-87.33155833
1,10023,12,1,2015,2,21,20,32.21718333,-85.91875
1,10024,2,1,2015,6,6,0,31.83945278,-85.2207
1,10025,15,1,2015,5,3,5,33.08890556,-87.67459722
1,10026,13,1,2015,3,13,33,33.46460556,-86.941675
1,10027,17,1,2015,7,14,42,30.47271111,-87.66633056
1,10028,10,1,2015,7,0,31,32.43066389,-86.51791667
1,10029,23,1,2015,6,5,40,31.16130833,-85.19056111
1,10030,24,1,2015,7,13,15,32.78083333,-86.4702
1,10031,24,1,2015,7,16,38,33.92139167,-87.86725
1,10032,25,1,2015,1,6,20,33.74095278,-85.88291667
1,10033,23,1,2015,6,21,22,32.87644722,-85.87761667
1,10034,15,1,2015,5,14,27,30.65515556,-87.90710278
1,10035,28,1,2015,4,9,25,33.58196667,-86.92233333
1,10036,19,1,2015,2,14,25,30.85440833,-88.19383056
1,10037,26,1,2015,2,14,40,30.73176944,-87.78450833
1,10038,27,1,2015,3,16,50,30.612125,-88.07764444
1,10039,29,1,2015,5,0,50,30.55205833,-88.10484722
1,10040,20,1,2015,3,15,57,33.43090833,-86.71233333
1,10041,28,1,2015,4,21,10,34.37793333,-85.75579167
1,10042,31,1,2015,7,18,45,33.10606944,-87.46706944
1,10043,2,2,2015,2,3,20,34.51033611,-85.76049444
1,10044,31,1,2015,7,3,10,33.39817778,-86.77766944
1,10045,31,1,2015,7,8,19,30.62482222,-88.12466111
1,10046,8,2,2015,1,2,15,32.84681944,-85.18687778
1,10047,22,1,2015,5,0,7,30.66823611,-88.05437222
1,10048,24,1,2015,7,22,0,30.97233333,-87.63953056
1,10049,29,1,2015,5,1,15,33.529925,-86.88088611
1,10050,31,1,2015,7,4,50,30.84359444,-88.39520556
1,10051,1,2,2015,1,14,38,31.82342222,-85.96047222
1,10052,9,2,2015,2,4,40,34.72961667,-86.85619722
1,10053,1,2,2015,1,17,55,33.03825556,-86.22563056
1,10054,3,2,2015,3,17,30,32.44788333,-87.96390278
1,10055,4,2,2015,4,2,25,34.86791111,-86.57139167
1,10056,8,2,2015,1,2,20,30.52108889,-87.45863889
1,10057,4,2,2015,4,17,52,34.45239167,-85.78168333
1,10058,8,2,2015,1,14,40,31.82686111,-86.6481
1,10059,10,2,2015,3,22,0,34.65318611,-87.52819722
1,10060,10,2,2015,3,17,39,34.52244722,-85.82724444
1,10061,13,2,2015,6,21,33,34.06270556,-87.82596944
1,10062,14,2,2015,7,10,55,34.76898333,-86.49392222
1,10063,1,2,2015,1,3,55,31.28759444,-85.70040556
1,10064,4,2,2015,4,0,19,30.70100278,-88.12357222
1,10065,31,1,2015,7,10,47,30.45154444,-87.680225
1,10066,8,2,2015,1,1,41,32.32658333,-86.29738611
