STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10001,1,1,2016,6,9,25,33.42645833,-86.81973056
1,10002,10,1,2016,1,19,59,33.40030556,-86.78723333
1,10003,1,1,2016,6,2,20,33.64924444,-86.60725833
1,10004,17,1,2016,1,21,45,33.42995556,-86.82220556
1,10005,26,1,2016,3,20,7,33.41205,-86.80557778
1,10006,1,1,2016,6,1,10,31.72063333,-85.95999167
1,10007,1,1,2016,6,23,34,33.14415,-86.79276944
1,10008,4,1,2016,2,17,30,34.96508056,-87.01479167
1,10009,4,1,2016,2,5,37,34.50008611,-86.85370278
1,10010,5,1,2016,3,15,18,31.31075,-85.25213056
1,10011,6,1,2016,4,8,4,33.53113611,-86.75778611
1,10012,6,1,2016,4,14,20,34.124425,-88.04465556
1,10013,7,1,2016,5,16,55,33.96818889,-86.12080833
1,10014,8,1,2016,6,0,35,30.62527222,-88.08787222
1,10015,8,1,2016,6,7,25,33.56590278,-85.93993056
1,10016,9,1,2016,7,4,30,33.15789167,-86.37793056
1,10017,11,1,2016,2,19,43,34.437675,-85.98705556
1,10018,13,1,2016,4,8,0,34.56575,-86.03709444
1,10019,13,1,2016,4,16,35,34.51645556,-86.59363333
1,10020,10,1,2016,1,1,20,32.80048889,-85.64495833
1,10021,13,1,2016,4,7,30,34.41686944,-87.16152778
1,10022,14,1,2016,5,10,35,33.51363889,-86.79241667
1,10023,14,1,2016,5,4,35,34.87481944,-86.98070556
1,10024,14,1,2016,5,13,45,32.42207778,-87.03307222
1,10025,15,1,2016,6,21,45,33.88647222,-85.91673333
1,10026,15,1,2016,6,12,43,34.71243611,-86.67097778
1,10027,15,1,2016,6,20,9,30.65030833,-88.10803333
1,10028,15,1,2016,6,14,35,34.04243333,-86.15382778
1,10029,14,1,2016,5,11,54,33.09165833,-85.77912222
1,10030,10,1,2016,1,4,23,34.74736111,-87.68036667
1,10031,21,1,2016,5,14,24,32.50413889,-86.38765833
1,10032,21,1,2016,5,7,30,33.46345833,-86.64188611
1,10033,21,1,2016,5,7,48,32.38260278,-86.17339722
1,10034,22,1,2016,6,16,40,34.97634444,-86.80498611
1,10035,22,1,2016,6,14,44,30.26755833,-87.59540278
1,10036,23,1,2016,7,18,54,33.16626944,-87.52548056
1,10037,25,1,2016,2,13,30,31.65504722,-86.71225
1,10038,26,1,2016,3,12,15,32.70844167,-86.82197778
1,10039,27,1,2016,4,15,25,33.99765556,-86.93453889
1,10040,27,1,2016,4,16,39,33.13842222,-86.68945278
1,10041,28,1,2016,5,7,41,33.22455,-87.532475
1,10042,30,1,2016,7,19,35,34.23925833,-85.81109722
1,10043,31,1,2016,1,3,45,32.13339444,-87.78209444
1,10044,2,2,2016,3,14,5,34.78961667,-87.75326944
1,10045,7,2,2016,1,17,15,33.991225,-86.09200556
1,10046,7,2,2016,1,6,15,32.36825,-86.121275
1,10047,13,2,2016,7,0,53,33.33825833,-86.92348611
1,10048,12,2,2016,6,14,22,34.67140833,-86.75699722
1,10049,14,2,2016,1,11,47,32.50567778,-85.60633333
1,10050,12,2,2016,6,5,40,33.61401389,-85.74714722
1,10051,27,1,2016,4,18,27,33.42600556,-86.66853889
1,10052,30,1,2016,7,1,25,32.942375,-87.17577222
1,10053,31,1,2016,1,18,45,34.27140278,-86.28426111
1,10054,1,2,2016,2,22,25,34.21828611,-86.89541944
1,10055,3,2,2016,4,18,40,33.5428,-86.55969167
1,10056,3,2,2016,4,0,30,34.21377778,-86.09075833
1,10057,4,2,2016,5,21,50,32.48930833,-86.40846111
1,10058,6,2,2016,7,18,15,34.38321389,-87.12081667
1,10059,6,2,2016,7,16,22,30.66925833,-88.10314444
1,10060,7,2,2016,1,15,23,33.95832222,-87.00510556
1,10061,8,2,2016,2,16,10,32.379475,-86.15707778
1,10062,9,2,2016,3,16,17,32.63058056,-86.30070556
1,10063,22,3,2016,3,20,28,34.73503889,-86.6273
1,10064,27,2,2016,7,21,2,33.5032,-87.24536389
1,10065,11,2,2016,5,1,5,30.71989444,-87.80173056
1,10066,7,2,2016,1,19,25,34.93386389,-86.57180556
1,10067,9,2,2016,3,14,10,30.44338611,-88.35915833
1,10068,10,2,2016,4,16,30,33.87446111,-87.460975
1,10069,16,2,2016,3,13,30,33.07621111,-87.54095
1,10070,16,2,2016,3,0,30,32.50845278,-85.86254722
1,10071,20,2,2016,7,2,10,32.46191111,-86.38925833
1,10072,3,3,2016,5,10,10,32.99652778,-86.69928333
1,10073,26,2,2016,6,22,25,34.85565833,-86.92801944
1,10074,10,3,2016,5,16,8,32.88001389,-87.90964167
1,10075,17,2,2016,4,7,40,34.86092222,-86.06533333
1,10076,11,3,2016,6,23,55,33.43970833,-86.73348611
1,10077,16,2,2016,3,22,15,31.51423889,-86.70300278
1,10078,17,2,2016,4,4,25,31.03037778,-88.02403611
1,10079,17,2,2016,4,23,0,31.26816111,-85.84326389
1,10080,18,2,2016,5,21,20,33.46901111,-86.88743056
1,10081,18,2,2016,5,11,39,34.36239444,-86.404
1,10082,20,2,2016,7,3,45,31.48724444,-85.91289167
1,10083,20,2,2016,7,20,48,30.60212778,-87.73774444
1,10084,20,2,2016,7,16,40,34.70930278,-87.77593056
1,10085,21,2,2016,1,18,33,34.854775,-87.691725
1,10086,22,2,2016,2,19,42,32.55949167,-85.81527222
1,10087,22,2,2016,2,15,40,33.22530556,-87.31619722
1,10088,23,2,2016,3,11,47,33.16998889,-87.49568611
1,10089,23,2,2016,3,13,31,33.4317,-86.46356667
1,10090,24,2,2016,4,20,12,34.16740278,-85.79605
1,10091,25,2,2016,5,0,30,31.16443611,-85.40206944
1,10092,25,2,2016,5,3,55,30.60952778,-87.85204444
1,10093,25,2,2016,5,6,40,32.46948889,-85.20437222
1,10094,26,2,2016,6,23,0,30.52230556,-88.30226111
1,10095,26,2,2016,6,11,50,33.06433333,-87.53874722
1,10096,26,2,2016,6,22,0,33.18725,-88.19326389
1,10097,27,2,2016,7,3,0,33.90663333,-87.30118611
1,10098,28,2,2016,1,18,20,30.54526111,-88.17174167
1,10099,29,2,2016,2,0,26,30.7318,-88.06001111
1,10100,29,2,2016,2,20,50,33.15970556,-86.36456944
1,10101,1,3,2016,3,14,0,31.05388333,-87.44621944
1,10102,1,3,2016,3,9,20,34.48814722,-85.74038056
1,10103,1,3,2016,3,17,20,32.53740833,-86.84906944
1,10104,1,3,2016,3,23,20,31.15448056,-85.41750278
1,10105,3,3,2016,5,18,29,33.58221389,-86.77538611
1,10106,5,3,2016,7,4,52,32.71125833,-88.12655278
1,10107,5,3,2016,7,22,0,33.13813889,-87.826625
1,10108,5,3,2016,7,14,20,34.63446111,-85.90765
1,10109,5,3,2016,7,19,30,33.04846111,-86.81045278
1,10110,5,3,2016,7,22,42,34.71395833,-87.70897778
1,10111,7,3,2016,2,16,30,34.11851944,-86.67848611
1,10112,7,3,2016,2,19,23,34.43671111,-85.74123889
1,10113,8,3,2016,3,23,20,30.68649167,-88.20758889
1,10114,8,3,2016,3,16,10,34.96238611,-86.48231944
1,10115,8,3,2016,3,11,54,34.74266111,-86.60576944
1,10116,9,3,2016,4,14,13,34.69514444,-85.98676111
1,10117,9,3,2016,4,17,9,32.48041944,-86.4356
1,10118,13,3,2016,1,4,45,33.71573333,-86.447875
1,10119,11,3,2016,6,11,12,33.91072778,-87.503075
1,10120,13,3,2016,1,3,36,30.67576667,-88.130075
1,10121,14,3,2016,2,5,50,31.269575,-87.20154722
1,10122,14,3,2016,2,17,30,33.13093611,-85.494525
1,10123,15,3,2016,3,21,30,34.91614722,-86.71379167
1,10124,16,3,2016,4,18,0,33.27088056,-87.226475
1,10125,17,3,2016,5,9,45,33.56193611,-87.10785556
1,10126,19,3,2016,7,3,17,31.19710833,-85.41261944
1,10127,23,3,2016,4,20,41,31.76528333,-86.69906389
1,10128,24,3,2016,5,6,45,33.33615556,-87.00849444
1,10129,26,3,2016,7,10,15,33.006275,-86.70598889
1,10130,29,3,2016,3,11,14,33.58908056,-86.86281667
1,10131,30,3,2016,4,14,15,33.58358056,-86.44096111
1,10132,31,3,2016,5,12,40,31.13154722,-87.43416944
1,10133,1,4,2016,6,20,7,30.74822778,-88.08964444
1,10134,1,4,2016,6,12,38,30.59463056,-88.15465833
1,10135,2,4,2016,7,13,25,32.54537222,-86.45321389
1,10136,4,4,2016,2,2,30,32.92196389,-86.64959722
1,10137,17,3,2016,5,7,5,33.27371111,-86.99290833
1,10138,27,3,2016,1,7,56,33.68201667,-86.68210278
1,10139,19,3,2016,7,3,48,33.74836389,-86.92605833
1,10140,4,3,2016,6,7,13,33.16515278,-86.86140278
1,10141,20,3,2016,1,13,25,30.74325,-88.16106944
1,10142,20,3,2016,1,4,0,33.08923611,-87.67515278
1,10143,4,3,2016,6,18,5,31.47326667,-85.53801111
1,10144,11,3,2016,6,22,18,34.07180833,-86.566125
1,10145,14,3,2016,2,8,46,31.26151667,-88.03022778
1,10146,15,3,2016,3,23,5,33.50997778,-86.83466389
1,10147,16,3,2016,4,6,20,30.95160833,-88.02608333
1,10148,17,3,2016,5,12,45,33.52534444,-86.72234722
1,10149,17,3,2016,5,20,50,34.14819722,-85.56725
1,10150,18,3,2016,6,12,23,33.86720278,-86.03908611
1,10151,19,3,2016,7,15,33,34.46064444,-86.77913889
1,10152,22,3,2016,3,6,30,34.19233333,-86.786175
1,10153,24,3,2016,5,21,18,31.21736389,-85.43138889
1,10154,24,3,2016,5,7,43,34.17148333,-86.09629444
1,10155,24,3,2016,5,8,10,34.63155278,-85.89304722
1,10156,25,3,2016,6,21,56,30.7444,-88.07619722
1,10157,25,3,2016,6,17,2,34.08814167,-86.73440833
1,10158,26,3,2016,7,19,30,33.93824444,-86.30364444
1,10159,28,3,2016,2,7,50,33.70241944,-87.46404444
1,10160,29,3,2016,3,5,45,34.39229167,-86.20121389
1,10161,29,3,2016,3,5,5,32.43344444,-87.05416389
1,10162,29,3,2016,3,13,0,32.73531111,-86.44340556
1,10163,30,3,2016,4,17,7,34.087275,-87.59655
1,10164,30,3,2016,4,7,50,32.50697222,-86.12878056
1,10165,31,3,2016,5,5,1,32.42288056,-86.27267222
1,10166,31,3,2016,5,18,32,32.40918611,-86.15993611
1,10167,1,4,2016,6,8,35,30.54471667,-88.25401389
1,10168,2,4,2016,7,21,34,34.01335278,-85.99644444
1,10169,2,4,2016,7,22,35,34.85868056,-86.92989167
1,10170,3,4,2016,1,3,30,34.52758333,-85.69963611
1,10171,14,4,2016,5,4,55,34.56616944,-86.91098611
1,10172,18,4,2016,2,5,40,32.36794722,-86.06694722
1,10173,30,3,2016,4,19,25,33.82198889,-86.82936389
1,10174,19,3,2016,7,18,43,32.45243056,-85.53149444
1,10175,11,4,2016,2,17,25,33.82414722,-87.10115556
1,10176,9,4,2016,7,22,43,30.65428333,-87.84358611
1,10177,8,4,2016,6,14,5,32.49341944,-85.09068889
1,10178,18,4,2016,2,11,0,32.09033889,-88.23178333
1,10179,18,4,2016,2,16,55,34.44825833,-86.75963611
1,10180,17,4,2016,1,18,57,32.47458333,-85.33646667
1,10181,17,4,2016,1,22,21,32.47908611,-85.24286389
1,10182,17,4,2016,1,20,3,34.08056944,-86.34044722
1,10183,13,4,2016,4,13,45,34.73356111,-87.86460556
1,10184,3,4,2016,1,23,20,31.34691944,-85.87298611
1,10185,1,4,2016,6,15,40,32.44826944,-85.51950833
1,10186,24,3,2016,5,4,15,30.73139722,-88.17450833
1,10187,21,4,2016,5,19,24,34.22471944,-86.45777222
1,10188,21,4,2016,5,20,7,34.01538056,-86.00126667
1,10189,20,4,2016,4,21,15,34.54984167,-87.25101389
1,10190,18,4,2016,2,6,30,31.86150833,-85.39253611
1,10191,18,4,2016,2,7,8,31.43558333,-86.94812222
1,10192,22,4,2016,6,7,30,31.98291389,-86.29171389
1,10193,23,4,2016,7,14,18,32.53545278,-86.232475
1,10194,24,4,2016,1,14,0,33.08387778,-86.55397778
1,10195,25,4,2016,2,23,0,33.46950278,-86.88645
1,10196,25,4,2016,2,8,2,34.73296944,-86.66773889
1,10197,27,4,2016,4,15,30,34.46599444,-87.752975
1,10198,28,4,2016,5,99,99,32.51001111,-86.07819167
1,10199,29,4,2016,6,16,45,34.42536389,-86.01751389
1,10200,1,5,2016,1,6,50,33.07541667,-86.06925
1,10201,2,2,2016,3,4,50,33.236125,-87.14565278
1,10202,13,2,2016,7,0,25,32.59513611,-87.53301389
1,10203,13,2,2016,7,11,48,32.57417222,-86.59906944
1,10204,26,2,2016,6,14,5,34.29729444,-85.784775
1,10205,16,2,2016,3,10,55,30.41976111,-87.85245
1,10206,27,2,2016,7,12,45,34.78508611,-87.49404444
1,10207,20,2,2016,7,2,36,32.52098611,-85.38268889
1,10208,18,2,2016,5,23,20,34.41469167,-87.08136667
1,10209,18,2,2016,5,12,12,33.25330278,-86.34283333
1,10210,13,2,2016,7,21,45,34.17027778,-86.74280278
1,10211,9,2,2016,3,16,20,31.18929444,-85.40283056
1,10212,7,2,2016,1,18,10,33.18625556,-85.93315833
1,10213,5,2,2016,6,6,9,32.52803056,-85.37675278
1,10214,1,1,2016,6,2,22,34.67664722,-85.78196111
1,10215,2,1,2016,7,14,27,32.45438889,-86.20615556
1,10216,2,1,2016,7,16,30,32.57778889,-86.15536944
1,10217,4,2,2016,5,10,16,34.04534722,-86.33491111
1,10218,2,1,2016,7,17,20,32.46552222,-87.07329444
1,10219,18,1,2016,2,12,45,34.59438056,-87.35672778
1,10220,27,1,2016,4,7,0,34.46536389,-86.73591389
1,10221,16,1,2016,7,13,50,30.70059444,-88.30998056
1,10222,21,1,2016,5,21,10,32.63636111,-86.12834167
1,10223,11,1,2016,2,17,36,33.89295833,-86.51866389
1,10224,9,1,2016,7,5,38,32.43390833,-86.12389722
1,10225,17,1,2016,1,18,5,34.97452778,-87.52050556
1,10226,10,2,2016,4,22,25,32.40701667,-86.3442
