STATE,ST_CASE,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10001,2340,15,1,2010,6,4,10,32.64106389,-85.35469167
1,10002,1080,11,1,2010,2,6,0,31.43044722,-86.95669444
1,10003,2100,14,1,2010,5,15,10,30.69163056,-88.08577778
1,10004,160,21,1,2010,5,1,16,33.8687,-86.29116389
1,10005,0,4,1,2010,2,6,38,33.30974167,-86.78722222
1,10006,0,1,1,2010,6,5,34,32.78581389,-86.57450833
1,10007,0,1,1,2010,6,2,40,30.46146389,-88.29401944
1,10008,0,2,1,2010,7,15,37,33.99555556,-86.43900278
1,10009,0,2,1,2010,7,9,55,32.70871667,-86.14818611
1,10010,0,3,1,2010,1,13,50,32.25259444,-85.00338333
1,10011,0,4,1,2010,2,5,50,34.32906111,-86.16592222
1,10012,0,4,1,2010,2,16,20,31.9941,-87.86773056
1,10013,0,5,1,2010,3,23,30,33.06655,-87.53685278
1,10014,1600,6,1,2010,4,17,1,33.88872778,-86.76163056
1,10015,0,6,1,2010,4,15,21,32.58800833,-86.92938056
1,10016,0,7,1,2010,5,9,5,33.69823889,-87.25543611
1,10017,0,7,1,2010,5,15,0,34.23519444,-85.79175278
1,10018,0,7,1,2010,5,13,30,31.50969444,-87.48523611
1,10019,0,10,1,2010,1,4,37,32.03341944,-86.03257222
1,10020,0,7,1,2010,5,16,49,34.20842222,-87.05831944
1,10021,0,7,1,2010,5,16,34,34.21050556,-86.28487222
1,10022,0,11,1,2010,2,6,28,34.07256944,-85.9192
1,10023,890,11,1,2010,2,13,4,34.54016667,-86.91805833
1,10024,0,12,1,2010,3,15,5,34.25094722,-86.10614167
1,10025,0,13,1,2010,4,3,30,30.46113611,-88.25905833
1,10026,0,14,1,2010,5,0,1,32.12425278,-86.27341389
1,10027,0,16,1,2010,7,5,0,31.66762778,-85.83286667
1,10028,0,15,1,2010,6,14,45,34.18200556,-86.64188056
1,10029,0,17,1,2010,1,21,35,34.23168333,-86.61481667
1,10030,2147,18,1,2010,2,17,40,32.17258889,-86.67206944
1,10031,0,21,1,2010,5,22,30,33.77533611,-87.46370278
1,10032,2320,22,1,2010,6,5,40,33.70572222,-86.40302222
1,10033,0,23,1,2010,7,15,45,31.00506667,-87.58129167
1,10034,0,28,1,2010,5,12,25,33.628725,-85.55716667
1,10035,1750,30,1,2010,7,15,25,33.53526944,-86.69771944
1,10036,540,5,1,2010,3,5,55,32.00395556,-87.31188056
1,10037,0,10,1,2010,1,21,55,34.25121389,-86.25799167
1,10038,0,14,1,2010,5,12,40,31.42496389,-87.13844722
1,10039,0,15,1,2010,6,21,50,32.47539167,-85.36676389
1,10040,0,16,1,2010,7,13,35,32.45680833,-85.18741111
1,10041,0,17,1,2010,1,1,20,30.775875,-88.18546667
1,10042,0,18,1,2010,2,14,15,33.87975833,-87.16157778
1,10043,0,20,1,2010,4,18,35,32.58449167,-87.34401111
1,10044,0,23,1,2010,7,17,40,30.76025833,-88.15321944
1,10045,0,24,1,2010,1,5,0,32.6189,-86.22354722
1,10046,0,24,1,2010,1,17,30,32.82171389,-85.59425833
1,10047,0,25,1,2010,2,7,35,34.72885556,-86.48895556
1,10048,0,28,1,2010,5,10,40,33.49440833,-85.68269444
1,10049,0,28,1,2010,5,7,1,34.76536111,-86.87728056
1,10050,0,29,1,2010,6,11,15,34.957825,-87.52741389
1,10051,2720,29,1,2010,6,11,17,34.69036667,-86.00071944
1,10052,0,30,1,2010,7,2,40,33.64933611,-85.72008611
1,10053,0,1,2,2010,2,14,45,34.89723889,-87.53185278
1,10054,0,2,2,2010,3,23,40,34.90518611,-87.82072778
1,10055,0,4,2,2010,5,9,20,30.56756944,-87.64526111
1,10056,0,4,2,2010,5,20,45,33.36529167,-86.71638056
1,10057,0,6,2,2010,7,16,10,34.05106944,-85.81016389
1,10058,2185,6,2,2010,7,20,30,33.53010833,-85.94894722
1,10059,0,7,2,2010,1,11,25,34.027375,-86.11078611
1,10060,890,8,2,2010,2,17,12,34.61162222,-86.97446944
1,10061,0,8,2,2010,2,23,15,34.17349167,-86.5389
1,10062,0,10,2,2010,4,20,15,34.66890833,-86.95017778
1,10063,0,12,2,2010,6,13,15,34.02105833,-86.11753333
1,10064,0,12,2,2010,6,11,45,32.26628611,-85.94693611
1,10065,0,12,2,2010,6,12,33,34.93194722,-85.5974
1,10066,2100,21,1,2010,5,12,40,30.71966667,-88.1439
1,10067,9997,1,2,2010,2,6,10,34.62860833,-86.94285
1,10068,1080,2,2,2010,3,5,36,31.41861111,-87.00978889
1,10069,1050,5,2,2010,6,0,57,31.87659167,-85.23907778
1,10070,330,5,1,2010,3,7,45,33.41061389,-86.97054167
1,10071,3271,16,1,2010,7,0,35,32.32568056,-86.73812222
1,10072,700,21,1,2010,5,17,33,32.87381944,-86.65406111
1,10073,2350,9,2,2010,3,10,13,31.264175,-86.22892778
1,10074,718,17,2,2010,4,4,40,33.17044167,-87.37550278
1,10075,2100,26,2,2010,6,23,57,30.65161944,-88.20765
1,10076,2713,27,2,2010,7,17,19,30.79537778,-88.07703889
1,10077,0,12,2,2010,6,22,7,32.77789444,-88.05328611
1,10078,0,16,2,2010,3,23,15,33.86401944,-86.10808333
1,10079,2405,18,2,2010,5,13,28,33.31984167,-86.78858056
1,10080,0,19,2,2010,6,15,25,34.73163333,-87.86328889
1,10081,350,27,2,2010,7,16,0,33.5201,-86.85557222
1,10082,1716,5,2,2010,6,10,25,33.37401111,-86.82911389
1,10083,1780,19,2,2010,6,22,55,33.87740278,-87.2497
1,10084,0,23,2,2010,3,11,20,34.10185,-86.26273333
1,10085,0,26,2,2010,6,18,0,32.69951667,-87.55096667
1,10086,0,27,2,2010,7,1,15,34.22405833,-87.66298056
1,10087,0,24,1,2010,1,20,2,34.62146667,-86.16575556
1,10088,1274,20,2,2010,7,20,56,34.44089444,-85.91096111
1,10089,0,12,2,2010,6,5,50,33.54068056,-87.08343056
1,10090,0,12,2,2010,6,20,0,33.57085833,-85.85282778
1,10091,0,13,2,2010,7,19,35,34.76989444,-86.70640833
1,10092,0,15,2,2010,2,7,45,34.79123333,-87.03011944
1,10093,160,26,2,2010,6,6,45,33.81895556,-86.21908333
1,10094,0,27,2,2010,7,0,45,32.01388889,-86.51933889
1,10095,0,28,2,2010,1,3,30,31.63695833,-87.67197222
1,10096,0,28,2,2010,1,8,19,32.44179167,-85.19560556
